#{"t_start": 1787791052.7228796, "env_id": "Ant-v5"}
r,l,t
928.690347,1000,1.999216
14.297019,14,2.018791
43.622478,40,2.073282
4.246402,14,2.092331
30.325638,47,2.157316
81.622305,131,2.33497
63.996288,46,2.398252
56.660647,53,2.471452
5.394697,22,2.502262
25.303052,20,2.530229
37.058639,52,2.599809
33.456194,64,2.686803
75.719431,57,2.76389
74.43039,129,2.938684
-5.055414,23,2.969002
29.089962,36,3.016783
160.661866,164,3.239774
60.483245,71,3.335192
27.659296,21,3.36342
19.735808,27,3.399985
7.757559,16,3.42145
26.100407,16,4.158977
33.488819,30,4.201549
6.634901,12,4.218695
924.907335,1000,5.606875
13.308644,18,5.631291
35.95906,37,5.682505
-2.334526,12,5.698861
9.513242,12,5.714966
959.187929,1000,7.500774
23.044368,27,7.537702
22.257906,16,7.559122
18.477284,24,7.59147
34.506387,28,7.628659
48.087458,40,7.683716
24.407064,27,7.719197
51.298548,27,7.755255
20.212523,43,7.812413
16.306011,14,7.831249
22.046752,21,7.858965
14.264863,19,7.884537
10.469679,13,7.90185
75.754401,84,8.014478
13.98161,14,8.0339
982.689703,1000,9.417593
11.860829,16,9.439747
17.505544,62,9.525549
52.197777,34,9.571541
25.95559,52,9.641993
1001.447401,1000,11.668359
17.92302,25,11.702547
7.580562,9,11.714859
22.16581,15,11.73498
21.84791,21,11.764038
31.575972,35,11.812894
32.074211,48,11.880419
51.764993,43,11.939292
17.889648,21,11.968101
19.256432,20,11.995063
22.022077,31,12.037629
70.096093,87,12.154473
0.445765,16,12.176897
31.601329,35,12.224412
38.849564,50,12.290916
30.556192,26,12.325859
47.171404,55,12.401073
50.736369,50,12.471823
35.048833,56,12.548305
10.619215,15,12.567966
14.721179,15,12.587776
971.89847,1000,14.629164
43.483351,43,14.688235
6.599039,17,14.711859
37.284709,31,14.753932
70.556101,58,14.83309
54.066529,120,14.999297
29.011803,26,15.033957
10.359336,29,15.073129
1027.25211,1000,16.437327
25.274921,26,16.472821
143.678188,92,16.597893
123.278012,106,16.743812
37.547466,34,16.791072
34.339658,56,16.867341
62.823505,47,16.931773
18.89144,34,16.978526
16.328583,56,17.055686
18.670197,52,17.836754
42.232601,63,17.928301
33.394102,43,17.987723
36.242079,50,18.055436
16.791261,12,18.071862
34.625395,40,18.125622
42.749313,31,18.166667
84.473518,82,18.275971
931.627737,1000,19.659937
63.543993,28,19.698458
97.57019,140,19.891083
19.076464,15,19.911678
62.364029,95,20.043223
61.10652,68,20.136021
104.903179,65,20.224713
62.237819,76,20.326416
25.733397,22,20.35797
5.685182,26,20.393631
18.928046,24,20.426108
49.752702,42,20.482836
176.937432,162,21.386688
33.890184,65,21.475796
42.007016,38,21.526434
100.440978,109,21.674571
123.615834,105,21.814986
90.581539,109,21.962333
29.078108,23,21.99351
77.295329,82,22.103312
265.110016,327,22.554478
281.220053,272,22.925915
1015.782538,1000,24.670786
5.070713,28,24.708733
36.789573,52,24.779864
48.229276,41,24.834725
