#{"t_start": 1787791052.717705, "env_id": "Ant-v5"}
r,l,t
30.969612,73,0.731413
48.917603,50,0.798828
25.781777,16,0.820305
42.168375,34,0.866372
9.448139,17,0.889005
26.837402,22,0.918095
13.96075,12,0.934005
6.295654,13,0.951551
63.686814,160,1.170802
8.625773,22,1.201279
2.054931,32,1.246561
68.232683,57,1.326937
8.951363,30,1.367729
27.20196,63,1.454578
34.381522,59,1.535018
12.461906,22,1.565562
989.108519,1000,2.933977
134.119161,225,3.237773
2.60616,10,3.251237
10.047587,12,3.26749
42.692498,51,3.335906
2.170863,20,3.36272
99.550557,76,4.181897
51.80508,47,4.247844
19.464432,29,4.287134
26.048008,20,4.313759
69.429892,54,4.38654
107.33724,48,4.453306
922.370051,1000,5.843397
24.042703,15,5.864793
67.905041,46,5.929339
35.389543,40,5.983316
70.104508,61,6.068698
-4.886089,22,6.098573
16.042101,12,6.114593
23.008646,20,6.141485
49.179931,23,6.172804
56.30451,28,6.210778
31.638434,36,6.259809
6.553696,17,6.283164
46.379697,73,6.381811
81.738067,99,6.518346
47.315741,57,6.595931
7.894347,12,6.612253
15.31974,23,6.643419
5.823649,42,6.701054
-13.481548,36,6.751535
49.821977,39,6.804301
46.249733,46,6.866479
17.759175,18,6.890715
1.073564,24,6.923332
40.432382,22,6.953589
0.779272,10,6.967012
47.183635,66,7.474429
54.677568,31,7.516497
75.386191,70,7.610965
-4.308107,55,7.685691
82.525386,46,7.74666
67.553998,63,7.830591
47.157424,59,7.909464
22.510727,34,7.954908
52.527696,54,8.027342
-4.017863,34,8.073672
24.110779,22,8.103039
33.406625,32,8.14582
3.881227,22,8.175385
18.633611,16,8.19705
60.407006,30,8.238234
76.968084,74,8.34063
135.712767,142,8.534926
55.760704,23,8.567583
98.288536,73,8.668561
6.628927,12,8.685365
47.235306,31,8.729072
35.126592,21,8.757884
35.939377,29,8.797625
97.746868,52,8.870505
31.940289,45,8.933186
4.658403,17,8.956539
21.083604,45,9.019346
103.34885,117,9.18459
49.972797,30,9.227082
21.903891,15,9.247931
144.68431,113,9.404036
90.360237,72,9.505063
21.022342,22,9.534365
16.071259,21,9.562809
14.540517,44,9.621984
58.763442,66,9.711231
7.087219,25,9.74532
61.496742,40,9.800081
56.024724,56,9.875656
18.557275,16,9.897342
910.658356,1000,11.929114
24.042748,21,11.958105
80.583494,156,12.168777
37.311271,41,12.225014
15.830664,15,12.245208
86.05181,78,12.350045
1.208556,18,12.374375
69.265389,76,12.480808
1.000421,9,12.493545
14.876349,11,12.508304
33.507961,27,12.544956
109.952635,120,12.705075
37.09398,41,12.760417
23.139256,29,12.799357
11.966291,21,12.827503
54.955951,42,12.88507
32.231611,64,12.971588
1030.703125,1000,15.020144
47.691918,51,15.088539
20.521524,19,15.114087
27.541255,12,15.129917
258.591118,225,15.436262
207.498439,218,15.732028
40.957683,49,15.798572
15.972463,25,15.832372
951.453323,1000,17.918998
40.168441,95,18.04938
214.453863,125,18.216722
56.636151,81,18.325411
980.703586,1000,19.710188
689.485025,701,21.350133
62.5729,56,21.429708
13.873493,19,21.455342
56.383792,86,21.571442
7.441073,11,21.586428
20.093966,45,21.64722
45.46435,58,21.72491
4.79543,21,21.753183
33.074168,77,21.856011
26.792632,61,21.938736
59.892695,70,22.032985
80.92731,119,22.194713
17.111951,20,22.221813
602.484408,527,22.94568
52.978051,71,23.041772
58.131763,53,23.114246
13.443597,13,23.132042
42.636287,30,23.173495
66.444036,40,23.228863
10.060388,16,23.251661
55.199136,94,23.383687
34.637836,31,23.426981
976.642308,1000,25.166383
79.545931,75,25.270442
49.845248,34,25.319431
48.076653,71,25.418081
173.725387,157,25.631809
14.267337,17,25.654755
37.204272,43,25.71294
195.760617,162,25.93103
160.162019,123,26.098552
74.183029,78,26.204011
27.654824,38,26.254636
4.496316,41,26.310162
18.815187,33,26.35442
1102.314147,1000,28.144654
49.721176,37,28.196439
56.770332,71,28.293621
59.380951,49,28.360475
30.963342,31,28.40259
37.865059,40,28.457694
106.275922,120,28.624048
63.711329,60,28.703869
100.060127,104,28.847082
1.282874,27,28.884063
978.820676,1000,30.271668
1001.928613,1000,32.047074
72.962336,49,32.113435
9.173956,32,32.158255
22.57874,41,32.214129
3.548183,18,32.238266
