policy_training_condition,policy_training_seed,evaluation_seed,damage_leg,damage_alpha,episode_return,episode_length,terminated_before_time_limit,forward_distance,lateral_distance,horizontal_distance,mean_forward_speed,mean_horizontal_speed,mean_abs_raw_command_actuator_0,mean_abs_raw_command_actuator_1,mean_abs_raw_command_actuator_2,mean_abs_raw_command_actuator_3,mean_abs_raw_command_actuator_4,mean_abs_raw_command_actuator_5,mean_abs_raw_command_actuator_6,mean_abs_raw_command_actuator_7,mean_abs_applied_command_actuator_0,mean_abs_applied_command_actuator_1,mean_abs_applied_command_actuator_2,mean_abs_applied_command_actuator_3,mean_abs_applied_command_actuator_4,mean_abs_applied_command_actuator_5,mean_abs_applied_command_actuator_6,mean_abs_applied_command_actuator_7
nominal,5,300,healthy,1.0,3391.775334627182,1000,False,41.27172097082369,-4.960126122724275,41.56871182809084,0.8254344194164738,0.8313742365618169,0.2790574371656403,0.2031489112637937,0.18747358799353242,0.241204016931355,0.2546687171794474,0.3469692584909499,0.25652458976395426,0.4373399090915918,0.2790574371656403,0.2031489112637937,0.18747358799353242,0.241204016931355,0.2546687171794474,0.3469692584909499,0.25652458976395426,0.4373399090915918
nominal,5,301,healthy,1.0,3440.068633199158,1000,False,43.27151125903942,-4.373526612685141,43.49196962282854,0.8654302251807884,0.8698393924565708,0.27827251100726424,0.1961573704518378,0.17916571783646942,0.2411804843880236,0.24351883490756154,0.34520821835659443,0.25195302651636303,0.4394580919146538,0.27827251100726424,0.1961573704518378,0.17916571783646942,0.2411804843880236,0.24351883490756154,0.34520821835659443,0.25195302651636303,0.4394580919146538
nominal,5,302,healthy,1.0,3320.795096061117,1000,False,37.04664755066319,-8.328754635776573,37.97133456340491,0.7409329510132637,0.7594266912680981,0.28786668672412635,0.19674341610446572,0.17563542701676488,0.2424137632995844,0.24048726481571794,0.3377312352117151,0.2532396265659481,0.44088366635888815,0.28786668672412635,0.19674341610446572,0.17563542701676488,0.2424137632995844,0.24048726481571794,0.3377312352117151,0.2532396265659481,0.44088366635888815
nominal,5,303,healthy,1.0,3288.5025694291553,1000,False,35.15490059758398,-6.210468063876214,35.69925698944499,0.7030980119516796,0.7139851397888998,0.28333717925846574,0.1965289384201169,0.1867550735063851,0.24503166080638766,0.23520897022821008,0.33024496609997006,0.24670484990254044,0.43187249936535954,0.28333717925846574,0.1965289384201169,0.1867550735063851,0.24503166080638766,0.23520897022821008,0.33024496609997006,0.24670484990254044,0.43187249936535954
nominal,5,304,healthy,1.0,3457.514173923803,1000,False,44.408693484629076,-3.1489419328004056,44.52019645405763,0.8881738696925815,0.8904039290811526,0.2683402377460152,0.20597980926930903,0.1703942961655557,0.2346574679762125,0.25760989567823706,0.3485220978055149,0.2653376692738384,0.442640088789165,0.2683402377460152,0.20597980926930903,0.1703942961655557,0.2346574679762125,0.25760989567823706,0.3485220978055149,0.2653376692738384,0.442640088789165
nominal,5,305,healthy,1.0,3383.661222554233,1000,False,39.98961209621847,-6.35367747452901,40.49121254119664,0.7997922419243695,0.8098242508239327,0.29178237332683055,0.20229854511842132,0.18319821744412185,0.2374896023273468,0.23283446969464422,0.32672697213944046,0.2478199404310435,0.4341365929320455,0.29178237332683055,0.20229854511842132,0.18319821744412185,0.2374896023273468,0.23283446969464422,0.32672697213944046,0.2478199404310435,0.4341365929320455
nominal,5,306,healthy,1.0,3446.1910195210257,1000,False,44.03217040724583,-3.6560048307659057,44.18368932191289,0.8806434081449166,0.8836737864382578,0.2748382301675156,0.2062447283267975,0.18545916295796633,0.24108800134062766,0.2573892864175141,0.34752305498486386,0.26080239890702067,0.4382475648187101,0.2748382301675156,0.2062447283267975,0.18545916295796633,0.24108800134062766,0.2573892864175141,0.34752305498486386,0.26080239890702067,0.4382475648187101
nominal,5,307,healthy,1.0,3371.0782494079263,1000,False,39.66804900456099,-7.207203254109288,40.317463841049026,0.7933609800912198,0.8063492768209806,0.29018516788445414,0.20512471191212536,0.18210713702067732,0.24463646203279496,0.24044873646833004,0.32267578531010077,0.2546451221499592,0.43162103347480296,0.29018516788445414,0.20512471191212536,0.18210713702067732,0.24463646203279496,0.24044873646833004,0.32267578531010077,0.2546451221499592,0.43162103347480296
nominal,5,308,healthy,1.0,3316.6545180233884,1000,False,36.876927353967154,-7.128864032605936,37.55966551322247,0.7375385470793431,0.7511933102644494,0.28970819323696195,0.1924442693926394,0.18215058056265115,0.24933734168857336,0.23208549359813332,0.3386360043473542,0.24668497259356081,0.432617734670639,0.28970819323696195,0.1924442693926394,0.18215058056265115,0.24933734168857336,0.23208549359813332,0.3386360043473542,0.24668497259356081,0.432617734670639
nominal,5,309,healthy,1.0,3357.259569001816,1000,False,38.328500330441486,-5.810348168197293,38.766404055784264,0.7665700066088297,0.7753280811156853,0.27811638280097395,0.19851156596466898,0.17744206588342787,0.24007868008315564,0.2435353753287345,0.32733355250861496,0.2418569405283779,0.4320807308219373,0.27811638280097395,0.19851156596466898,0.17744206588342787,0.24007868008315564,0.2435353753287345,0.32733355250861496,0.2418569405283779,0.4320807308219373
nominal,5,300,front_left,0.5,3402.229832455271,1000,False,38.66839490962928,-7.067630615264829,39.308983291365756,0.7733678981925856,0.7861796658273151,0.2869082275144756,0.2020839317664504,0.1772615341991186,0.24060324787721038,0.24499315286427736,0.33337167850742117,0.25759175133705137,0.43560211336612703,0.2869082275144756,0.2020839317664504,0.0886307670995593,0.12030162393860519,0.24499315286427736,0.33337167850742117,0.25759175133705137,0.43560211336612703
nominal,5,301,front_left,0.5,3475.7484762497656,1000,False,42.306227799393376,-6.781724014222809,42.84633813080473,0.8461245559878675,0.8569267626160947,0.2752669576462358,0.19958035669103263,0.18076624498516322,0.24136775418743492,0.24745340774580837,0.34134360469551756,0.2563939905781299,0.4380341278761625,0.2752669576462358,0.19958035669103263,0.09038312249258161,0.12068387709371746,0.24745340774580837,0.34134360469551756,0.2563939905781299,0.4380341278761625
