policy_training_condition,policy_training_seed,evaluation_seed,damage_leg,damage_alpha,episode_return,episode_length,terminated_before_time_limit,forward_distance,lateral_distance,horizontal_distance,mean_forward_speed,mean_horizontal_speed,mean_abs_raw_command_actuator_0,mean_abs_raw_command_actuator_1,mean_abs_raw_command_actuator_2,mean_abs_raw_command_actuator_3,mean_abs_raw_command_actuator_4,mean_abs_raw_command_actuator_5,mean_abs_raw_command_actuator_6,mean_abs_raw_command_actuator_7,mean_abs_applied_command_actuator_0,mean_abs_applied_command_actuator_1,mean_abs_applied_command_actuator_2,mean_abs_applied_command_actuator_3,mean_abs_applied_command_actuator_4,mean_abs_applied_command_actuator_5,mean_abs_applied_command_actuator_6,mean_abs_applied_command_actuator_7
robust,6,400,healthy,1.0,3442.9736412515313,1000,False,65.10635346854389,-6.450370579316105,65.42510636278311,1.3021270693708777,1.3085021272556623,0.2916455639246851,0.25745844169054183,0.49263807891495526,0.292206360951066,0.38380158092454075,0.44798821103945374,0.3872056278884411,0.5133522267341614,0.2916455639246851,0.25745844169054183,0.49263807891495526,0.292206360951066,0.38380158092454075,0.44798821103945374,0.3872056278884411,0.5133522267341614
robust,6,401,healthy,1.0,3436.205204602624,1000,False,64.76859434800126,0.891489299907162,64.77472938567779,1.2953718869600253,1.2954945877135557,0.3121705277301371,0.2611744000092149,0.4964142956342548,0.31452036737278105,0.3745575441606343,0.44349957156926395,0.3800243316795677,0.49020938827097416,0.3121705277301371,0.2611744000092149,0.4964142956342548,0.31452036737278105,0.3745575441606343,0.44349957156926395,0.3800243316795677,0.49020938827097416
robust,6,402,healthy,1.0,3544.5923333114183,1000,False,69.13434702526261,5.28074742360303,69.33573560553985,1.3826869405052522,1.386714712110797,0.3164503172356635,0.2622513896571472,0.4790971739962697,0.33200887647643684,0.3696765026152134,0.43781236343830826,0.36015869795903566,0.4934035111311823,0.3164503172356635,0.2622513896571472,0.4790971739962697,0.33200887647643684,0.3696765026152134,0.43781236343830826,0.36015869795903566,0.4934035111311823
robust,6,403,healthy,1.0,3559.8857915267563,1000,False,70.66747124494255,-0.10708876996446196,70.66755238551448,1.413349424898851,1.4133510477102897,0.31992093975283203,0.25542049726750704,0.479299183730036,0.31298223812505604,0.3850605368204415,0.4425397966951132,0.37092433834820987,0.5014975339993835,0.31992093975283203,0.25542049726750704,0.479299183730036,0.31298223812505604,0.3850605368204415,0.4425397966951132,0.37092433834820987,0.5014975339993835
robust,6,404,healthy,1.0,311.3401811477754,101,True,5.103002035821876,-1.2039333565216466,5.243098826509728,1.0104954526379952,1.0382373913880647,0.27002837457279166,0.2574302551272039,0.4683694696367377,0.2632201024432584,0.4547689712726244,0.4356175287820325,0.43947671744788047,0.5351651587182342,0.27002837457279166,0.2574302551272039,0.4683694696367377,0.2632201024432584,0.4547689712726244,0.4356175287820325,0.43947671744788047,0.5351651587182342
robust,6,405,healthy,1.0,3492.9882796937272,1000,False,66.06514774163709,3.618847621109206,66.16418823071243,1.3213029548327417,1.3232837646142486,0.3144561511389911,0.2592181860264391,0.4635112809436396,0.33902383740991354,0.3677980067394674,0.44026271683722734,0.35252930812723937,0.4928707717228681,0.3144561511389911,0.2592181860264391,0.4635112809436396,0.33902383740991354,0.3677980067394674,0.44026271683722734,0.35252930812723937,0.4928707717228681
robust,6,406,healthy,1.0,3548.8490112628656,1000,False,69.20502967684651,5.313813617798521,69.40873682569008,1.3841005935369302,1.3881747365138017,0.31761920782178643,0.26408768889680506,0.4770000337101519,0.3354667866714299,0.3615407230742276,0.4368041420355439,0.3557562641184777,0.48180991417355834,0.31761920782178643,0.26408768889680506,0.4770000337101519,0.3354667866714299,0.3615407230742276,0.4368041420355439,0.3557562641184777,0.48180991417355834
robust,6,407,healthy,1.0,3435.543093840111,1000,False,64.28813769348695,0.6929993429845899,64.29187270710128,1.285762753869739,1.2858374541420254,0.3065377900116146,0.25880901735369116,0.4802621095478535,0.3154855305068195,0.37119167543947695,0.44750559129565953,0.3804266631677747,0.5055287243146449,0.3065377900116146,0.25880901735369116,0.4802621095478535,0.3154855305068195,0.37119167543947695,0.44750559129565953,0.3804266631677747,0.5055287243146449
robust,6,408,healthy,1.0,3536.234050451765,1000,False,69.29002804073264,6.061867145993185,69.55468509871342,1.3858005608146526,1.3910937019742684,0.3215701739452779,0.26133171971980484,0.4804796586269513,0.3333268049061298,0.37381901980936527,0.43189320418983695,0.3733362902998924,0.4843120647445321,0.3215701739452779,0.26133171971980484,0.4804796586269513,0.3333268049061298,0.37381901980936527,0.43189320418983695,0.3733362902998924,0.4843120647445321
robust,6,409,healthy,1.0,3583.6995704925985,1000,False,72.0547574092541,-0.6325437765362941,72.05753379720744,1.4410951481850818,1.4411506759441488,0.3018782007843256,0.2650920488443226,0.4877213787138462,0.3204083686284721,0.3716955278478563,0.43786451180279257,0.38462348298728466,0.5012381522003562,0.3018782007843256,0.2650920488443226,0.4877213787138462,0.3204083686284721,0.3716955278478563,0.43786451180279257,0.38462348298728466,0.5012381522003562
