#{"t_start": 1787792945.1983693, "env_id": "Ant-v5"}
r,l,t
41.326195,50,0.696548
87.694635,67,0.789207
26.430303,40,0.843605
270.634152,290,1.234671
157.660683,100,1.374063
14.744711,24,1.406468
34.940323,30,1.447118
24.25002,18,1.471313
29.861192,79,1.577864
49.930868,33,1.622494
268.569444,203,1.900192
165.834197,113,2.054542
30.729889,41,2.110511
49.706951,29,2.1502
102.952842,53,2.22359
22.537488,16,2.245752
177.196916,98,2.380018
33.384653,32,2.423799
244.652374,269,2.791788
33.461089,76,2.893689
8.433951,6,2.901834
63.293203,55,2.977141
176.793383,117,3.137498
1246.699696,1000,5.606531
1438.160531,1000,6.984209
240.03916,217,7.2831
130.541878,72,8.145881
49.256974,133,8.327991
30.484086,39,8.381336
28.879683,37,8.432096
186.059869,136,8.62236
42.916724,109,8.77301
35.56572,24,8.805885
6.393552,13,8.822774
105.553176,69,8.916685
53.390484,41,8.97257
4.161668,9,8.984983
12.512734,44,9.045013
26.561466,16,9.066791
75.062027,109,9.215819
20.858331,12,9.232628
47.78197,43,9.291701
949.888744,1000,10.673663
110.635444,110,10.822881
22.231937,25,10.85711
38.824262,48,11.642089
85.546218,54,11.721307
20.74336,18,11.745888
41.92201,75,11.849462
2.004099,9,11.861595
460.352665,320,12.302613
1268.615615,1000,13.691218
277.844004,173,13.933498
29.03153,29,13.976547
1347.627852,1000,16.281867
52.217174,34,16.328216
17.180156,23,16.360253
4.378525,14,16.380523
91.39893,73,16.479387
34.63687,32,16.522952
103.017779,75,16.624574
168.580366,135,16.808776
80.938968,47,16.873078
10.941366,79,16.983135
288.276057,213,17.279857
1357.18079,1000,18.973584
19.382338,41,19.029428
30.93688,81,19.14021
116.371241,90,19.263909
15.21945,21,19.293459
925.42324,1000,20.745334
43.408487,38,20.798319
64.727352,151,21.007916
63.983862,54,21.082465
55.201719,51,21.15194
9.357109,12,21.168652
189.996498,150,21.378866
1254.494586,1000,23.354322
658.795009,418,23.973238
54.008536,41,24.032515
74.858924,96,24.171928
3.167033,40,24.229167
24.254859,31,24.273973
56.205421,68,24.371591
1252.15429,1000,26.292949
43.28198,30,26.334282
25.057737,32,26.377479
49.647897,35,26.425618
22.630027,43,26.484592
40.537054,45,26.546244
30.072681,42,26.603403
185.054296,196,26.87589
169.017885,146,27.082783
59.538686,39,27.135937
1.299804,23,27.167576
159.482376,101,27.305444
43.708447,40,27.360058
33.87661,33,27.405737
107.428338,70,27.506317
96.040645,73,27.610203
37.967201,19,27.63707
50.587384,28,27.677997
74.800458,47,27.744413
254.983048,142,27.947419
24.562932,17,27.972758
52.861608,51,28.045956
85.321429,82,28.16258
35.90326,32,28.208116
466.944029,322,29.09359
32.884061,58,29.178738
112.90577,79,29.296111
33.617357,20,29.325134
38.799335,44,29.388014
92.974434,76,29.496703
166.311375,127,29.678883
117.533137,124,29.858211
-2.046747,20,29.887211
104.904678,79,30.001259
242.944221,174,30.245758
35.165577,47,30.311663
71.72826,49,30.380656
87.395491,116,30.547626
20.032888,16,30.569051
68.698987,124,30.736402
41.576811,41,30.79395
41.332664,61,30.877243
37.401149,51,30.948217
86.874064,78,31.057865
45.91918,45,31.122671
110.021651,64,31.211627
112.674527,66,31.304651
138.118488,90,31.428407
33.121243,33,31.473692
1102.685877,1000,33.107383
57.575802,40,33.163911
21.373006,18,33.190018
27.894616,15,33.21104
130.757039,91,33.338147
1005.893935,1000,34.752502
11.865024,22,35.100949
81.189835,29,35.14153
1415.893437,1000,36.569376
85.939094,83,36.689538
73.359205,65,36.779208
103.280829,124,36.950102
190.229634,142,37.145307
63.413782,33,37.189573
73.513544,67,37.284627
139.64158,129,37.456789
0.824259,30,37.497696
14.345058,26,37.535118
35.926708,28,37.573049
26.353085,20,37.60049
147.184437,130,37.781691
36.667248,43,37.842334
1186.552983,1000,39.60094
63.261501,51,39.670615
1348.880278,1000,41.078512
998.217436,1000,42.967847
136.721726,81,43.079276
162.298882,125,43.246338
47.878909,64,43.334714
128.349911,90,43.460336
9.514621,11,43.475696
20.741374,29,43.515676
91.828652,54,43.59075
61.184758,46,43.655425
34.695798,23,43.687371
10.568133,13,43.705559
14.15641,17,43.728821
28.164945,37,43.780406
994.27829,1000,45.627772
23.054946,14,45.648489
212.189641,144,45.853556
1182.915361,1000,47.277395
1265.052262,1000,49.097422
65.770864,39,49.152686
1242.859607,1000,50.586636
15.480553,20,50.614175
14.75353,32,50.657794
33.898155,27,50.694671
177.549903,134,50.885705
14.386783,16,50.909745
1542.300094,1000,52.747161
-7.724061,49,52.815787
37.558855,26,52.855547
65.368663,96,52.993143
76.801881,51,53.069548
79.14523,50,53.137765
49.653929,47,53.20218
12.221198,21,53.231147
30.238911,29,53.27092
1439.321111,1000,54.914751
71.106772,58,54.997148
96.648066,109,55.153216
54.730733,66,55.245167
64.46649,59,55.33184
22.739932,33,55.378116
58.852104,100,55.519428
47.113585,64,55.605738
42.976831,75,55.708138
55.351796,63,55.793965
1451.587215,1000,57.228732
18.199097,22,57.259824
63.380235,28,57.298712
108.122096,110,57.449332
71.76379,36,57.498609
67.054358,37,57.549954
26.187004,28,57.587778
304.214258,212,58.156807
121.138674,61,58.245783
45.567689,41,58.304203
49.032478,32,58.351497
74.036517,67,58.447665
21.56152,19,58.47478
13.717692,15,58.496978
170.560509,114,58.660699
159.728268,174,58.903203
67.57014,76,59.011085
29.249564,21,59.042035
14.159409,21,59.072201
5.645947,17,59.096118
268.333319,222,59.401743
20.635584,21,59.430484
1429.793417,1000,61.184804
27.941293,27,61.224493
40.210815,30,61.267887
160.148096,106,61.420978
16.53343,31,61.46658
1299.37136,1000,62.89142
-6.104868,14,62.911894
68.281307,91,63.044291
143.994421,83,63.161221
19.757558,33,63.208205
73.59996,73,63.312635
66.862698,46,63.376193
173.369612,111,63.532422
242.734395,146,63.73224
56.899405,30,63.773276
29.594406,17,63.797179
196.157551,125,63.967812
14.951206,12,63.984617
72.0249,64,64.075371
10.498556,25,64.504968
29.886686,25,64.54172
246.039546,205,64.838857
10.817161,14,64.859243
38.431466,35,64.909255
508.04381,378,65.447964
30.574145,21,65.477304
32.116909,20,65.504869
169.697521,96,65.63843
88.10392,103,65.784715
75.090824,48,65.851688
75.537786,71,65.950666
17.542138,17,65.975154
135.977729,117,66.143815
96.80256,73,66.249197
5.296246,12,66.266754
44.11273,48,66.334856
342.610615,365,66.843453
53.70672,58,66.925587
29.664611,16,66.947927
122.579334,92,67.075357
222.974883,139,67.265651
39.768314,19,67.291423
107.655849,59,67.613439
982.576858,1000,69.035935
0.614786,18,69.060996
11.154648,15,69.081697
29.065608,23,69.113485
8.760303,17,69.136854
154.229645,87,69.258301
108.868995,56,69.340494
289.86907,244,69.67946
5.391181,12,69.696573
87.714116,57,69.777179
183.682442,218,70.085278
91.98517,61,70.171908
217.343922,139,70.366895
205.865891,96,70.81598
127.194048,101,70.963701
140.053382,104,71.112833
77.201354,90,71.240443
1356.001527,1000,72.649242
155.01925,109,72.79543
25.556933,23,72.826623
118.805683,78,72.933879
1211.095978,1000,74.557364
45.869717,85,74.674292
49.540571,29,74.71676
109.619167,93,74.847337
324.549553,234,75.179073
21.600955,43,75.237301
137.042717,211,75.521899
26.251267,19,75.548553
140.311298,78,75.658147
53.595754,63,75.744886
1356.302774,1000,77.54054
57.131627,41,77.596629
93.99438,54,77.669711
9.549817,9,77.682527
289.233259,202,77.961073
1413.932865,1000,79.384051
1207.298295,1000,80.978423
26.14829,44,81.03997
247.498987,162,81.267672
1481.950384,1000,82.660212
1322.831231,1000,84.37281
122.874341,103,84.513826
41.919927,39,84.568544
9.875101,13,84.58651
205.47591,201,84.86324
141.64516,93,84.993643
188.283435,143,85.188987
120.487748,140,85.381
22.746367,28,85.418946
212.783807,135,85.605799
34.576771,30,85.647284
18.331826,41,85.704727
163.630207,138,85.896904
81.746899,49,85.964953
372.310781,267,86.666653
202.786882,129,86.844769
125.868955,103,86.990329
49.161759,40,87.046052
44.9286,32,87.090737
936.165136,1000,88.472486
17.615388,15,88.493554
384.8111,242,88.830006
200.073637,123,88.999729
32.6416,27,89.036604
43.797418,34,89.083588
123.169786,140,89.277355
30.909569,53,89.352042
1171.370299,1000,91.03254
145.438742,107,91.180698
12.350597,18,91.205021
44.009634,27,91.241732
117.6472,78,91.348018
115.607597,92,91.472683
89.717858,60,91.553035
63.631831,37,91.602407
73.827807,58,91.680474
97.400249,44,91.741442
73.234167,107,91.887169
379.455863,307,92.31372
1178.926195,1000,93.972558
31.209857,44,94.033979
1460.91631,1000,95.43862
26.082022,27,95.475969
31.235692,20,95.503276
39.919522,46,95.566446
922.173319,1000,97.122148
1113.986711,1000,98.514194
45.092811,42,98.572374
149.816515,188,99.174349
1032.054594,1000,100.573829
1075.51114,1000,102.386991
568.963684,365,102.896487
92.694578,61,102.982589
1398.829427,1000,104.384117
68.488357,35,104.43366
161.748343,129,104.613246
550.197927,328,105.074012
7.090069,15,105.095391
13.954593,17,105.11899
35.525806,13,105.136986
364.991189,230,105.722295
48.750619,28,105.761117
159.565062,157,105.982916
977.79652,1000,107.379915
123.937673,88,107.501749
60.218769,73,107.602466
1282.22603,1000,109.266438
122.321056,75,109.368611
106.74644,75,109.471244
132.871274,107,109.619176
64.804633,62,109.704397
94.71938,91,109.828179
11.352836,28,109.866106
1491.114485,1000,111.256677
77.160587,64,111.34539
1352.817836,1000,112.937995
162.95868,123,113.108728
8.83764,12,113.125649
26.526586,13,113.14404
168.226054,100,113.283231
38.190311,59,113.364603
69.710225,98,113.499284
65.912343,44,113.560197
1458.522208,1000,115.333749
57.855079,46,115.397398
22.081366,16,115.419771
74.463937,66,115.510346
132.965621,161,115.735035
352.029316,181,115.986437
24.631999,14,116.005738
73.652784,58,116.086082
368.955541,229,116.407457
13.754707,31,116.45129
541.734276,407,117.02049
480.527082,345,117.495182
99.362449,102,117.633284
1055.574302,1000,119.330117
30.578412,22,119.361036
27.98501,16,119.383403
46.964298,64,119.472481
29.760152,34,119.5196
89.241653,63,119.606726
16.604623,14,119.625989
188.448691,208,119.92023
104.819512,83,120.033348
26.897713,45,120.095747
186.115309,145,120.294341
19.221148,33,120.340523
100.718708,112,120.496961
26.388501,33,120.543516
24.152456,20,120.572366
10.720745,18,120.598853
1207.246727,1000,122.321102
997.539505,1000,123.708682
1415.776572,1000,125.320607
77.081474,102,125.463522
1505.975341,1000,126.866651
81.358901,107,127.017657
1353.853903,1000,128.612314
72.656389,55,128.68984
28.135727,54,128.765548
37.255498,18,128.79065
1267.470985,1000,130.475495
70.501636,78,130.585787
20.337093,13,130.605056
184.230575,176,130.85217
51.667215,72,130.951164
21.539874,26,130.986934
51.546983,55,131.063926
14.541899,17,131.08752
73.397468,46,131.151459
36.688417,70,131.247976
70.659841,56,131.327725
1449.867872,1000,132.732283
90.476356,92,132.861603
89.926326,81,132.974648
71.544895,54,133.049277
67.328287,53,133.123981
129.590244,127,133.296943
293.961032,158,133.726958
1446.756713,1000,135.126949
14.672305,30,135.1686
1067.825181,1000,136.857743
1349.199566,1000,138.257682
63.260353,65,138.348286
85.054138,50,138.433923
1175.60091,1000,140.081836
107.15038,73,140.181433
135.586646,131,140.359824
166.427531,102,140.499813
149.692794,108,140.649715
58.186546,49,140.719373
1468.911941,1000,142.114972
123.540018,141,142.310118
325.138093,194,142.580735
19.8935,29,142.620936
71.260929,41,142.875993
1396.441295,1000,144.305252
26.822139,27,144.342874
657.612762,474,145.009729
1300.308939,1000,146.608985
146.041835,127,146.790608
63.995546,47,146.858693
75.558159,63,146.947802
1299.187732,1000,148.352265
