#{"t_start": 1787792945.2012186, "env_id": "Ant-v5"}
r,l,t
95.287684,62,0.711188
34.058468,19,0.737508
28.294009,24,0.770229
313.386662,210,1.053985
44.647267,50,1.121029
22.650588,21,1.149344
213.293022,180,1.397067
-2.932721,19,1.422541
1391.724332,1000,2.789351
1003.81359,1000,5.249007
56.767738,82,5.363793
29.468872,30,5.40612
34.104779,34,5.452701
92.065344,61,5.538656
73.381793,52,5.610883
51.638857,30,5.65151
136.536909,100,5.789057
39.286737,30,5.830254
113.385581,124,5.999642
60.212583,50,6.068237
50.029944,48,6.136073
5.872459,27,6.172857
7.632588,47,6.238058
36.994125,19,6.26409
70.184245,59,6.345387
31.748304,22,6.375648
18.715672,20,6.402872
56.972465,45,6.464794
86.647497,52,6.53605
70.926458,46,6.598989
35.778484,19,6.625144
171.635549,141,6.821372
64.984425,62,6.906864
113.576376,92,7.033442
40.053184,24,7.065977
256.746782,196,8.096937
42.598336,36,8.150244
32.259939,29,8.191132
-4.220228,18,8.215746
17.662244,14,8.234636
139.102047,97,8.366639
20.073152,43,8.424944
57.384122,47,8.491225
68.639316,73,8.593578
53.548274,50,8.66225
36.074033,19,8.689115
197.957115,124,8.857384
24.648977,18,8.882354
21.461173,29,8.922296
20.632157,51,8.991962
54.996959,39,9.045115
9.202644,12,9.061339
20.991562,32,9.106267
40.482425,24,9.139056
129.675174,99,9.274068
1217.788515,1000,10.655856
1323.743657,1000,12.751937
25.510577,37,12.803847
4.924143,10,12.817916
962.415657,1000,14.217453
49.056561,38,14.269282
943.414973,750,16.229108
64.566075,61,16.311934
47.86384,28,16.350689
42.472035,19,16.37799
17.342192,14,16.397053
14.811458,29,16.436388
85.607873,59,16.516278
334.49323,281,16.899102
69.16803,43,16.959018
946.799538,1000,18.657333
40.973769,42,18.71502
21.522245,18,18.739906
137.069177,191,19.001593
41.693666,35,19.051124
5.187419,15,19.070912
101.852344,122,19.237821
34.974172,26,19.274085
26.251295,30,19.315467
14.407192,18,19.34066
78.902603,42,19.402661
47.26883,66,19.497167
15.173962,26,19.53713
7.266824,10,19.553299
50.214114,49,19.624653
1415.723482,1000,21.060531
37.313878,20,21.088072
105.506914,61,21.171445
186.734082,156,21.390846
19.752298,12,21.407325
80.165352,46,21.989242
106.284589,87,22.112382
105.594623,155,22.331313
317.147683,216,22.641606
50.560703,36,22.695069
1069.608904,1000,24.179531
331.888157,232,24.514429
33.945881,27,24.55425
27.616977,46,24.623086
177.08536,103,24.772087
36.504533,33,24.820243
265.250661,182,25.547116
88.77418,39,25.604206
32.817954,56,25.687933
21.122552,34,25.737612
101.848284,88,25.865363
3.047236,12,25.882704
0.247205,41,25.942579
9.528708,21,25.974062
123.327302,68,26.071945
17.83364,18,26.097851
130.566495,95,26.236125
1164.910579,1000,27.628668
66.461545,61,27.716884
29.294732,18,27.741897
103.156526,129,27.92623
23.358534,20,27.954753
44.878078,33,28.00295
14.271061,68,28.100436
10.372743,37,28.152654
48.95168,31,28.197013
-2.531493,11,28.212764
124.974653,81,28.327772
13.120242,13,28.764926
14.218983,17,28.789664
46.316607,50,28.861259
149.1917,122,29.040909
1096.051239,1000,30.479765
40.689621,57,30.558396
23.507135,16,30.579739
55.283468,65,30.667193
200.902059,128,30.843629
74.764626,51,30.911895
45.194341,40,30.970268
1371.130471,1000,32.59737
33.580625,24,32.631097
20.076284,13,32.648979
9.52685,13,32.667237
21.620573,20,32.695237
19.290844,29,32.735962
346.136283,253,33.094781
96.782169,103,33.241225
972.786245,1000,34.656908
30.428041,49,34.723488
29.225041,23,34.75534
176.527764,138,35.269091
501.377471,361,35.77854
45.350031,32,35.824219
93.512248,61,35.912843
81.475235,71,36.01332
33.879145,33,36.061246
101.538932,89,36.189759
55.272054,37,36.241341
41.382616,39,36.299254
9.128695,22,36.331587
61.556302,54,36.407794
69.169134,86,36.532208
47.173782,58,36.614413
29.578793,25,36.650404
100.039622,84,36.769766
198.836502,119,36.933768
24.192203,15,36.954483
15.753958,11,36.970507
43.449427,36,37.021683
16.300814,17,37.044496
16.421793,22,37.073908
50.679693,34,37.11998
56.725974,92,37.24635
193.482283,155,37.455582
51.864142,48,37.52258
47.987169,41,37.578749
143.212504,128,37.756006
35.275916,37,37.809685
208.098959,167,38.403997
56.787689,76,38.514276
37.164444,20,38.542745
198.141128,133,38.733332
25.402973,34,38.781205
47.179003,54,38.858164
158.715868,166,39.085408
103.414482,80,39.195546
55.253549,42,39.253487
18.471837,23,39.28496
71.515169,45,39.349586
34.57274,17,39.372914
218.031139,147,39.573696
32.05966,26,39.609259
1128.926875,1000,41.015109
35.561488,40,41.071733
83.581345,71,41.167907
9.221013,14,41.186883
209.62299,136,41.824579
8.577332,15,41.846533
37.582253,22,41.878023
134.708103,100,42.023795
95.524768,68,42.122608
93.151776,139,42.333194
27.423533,28,42.372643
1173.565981,1000,43.77791
1310.593246,1000,45.62533
35.790758,34,45.674092
74.903106,39,45.728694
47.835784,33,45.775097
20.676547,16,45.798161
89.991555,76,45.907244
52.644503,42,45.969103
134.905976,94,46.104428
57.450759,28,46.146386
11.202715,27,46.187232
1355.913069,1000,47.592949
113.477456,79,47.703051
80.236258,47,47.76799
-6.166025,37,47.819144
439.415175,244,48.571261
114.90615,61,48.661972
7.870413,15,48.683873
136.071999,104,48.832129
39.347127,24,48.868234
82.058867,75,48.972839
149.683913,93,49.108872
127.531495,107,49.260036
59.252016,33,49.305297
97.067156,105,49.451085
64.423262,69,49.548091
90.288281,64,49.644163
39.032401,32,49.693283
142.958268,107,49.84842
51.709944,27,49.888051
15.65183,15,49.90999
65.001966,86,50.034914
1150.554034,1000,51.860774
23.442,42,51.923371
138.604687,138,52.122997
93.684748,72,52.229732
1425.232598,1000,53.647677
20.06023,24,53.68071
128.267315,76,53.788002
18.056959,23,53.820549
218.290556,165,54.057323
1372.001065,1000,55.697151
90.335716,60,55.779165
34.05568,49,55.845264
1.823106,17,55.869042
32.216105,47,55.935918
53.590682,78,56.048867
1339.357365,1000,57.476838
109.836619,97,57.609937
26.295534,38,57.665095
349.421843,378,58.475157
87.177585,76,58.586682
19.15474,17,58.610571
132.64908,180,58.8621
129.106835,138,59.058021
73.28185,72,59.159184
74.849808,105,59.303947
27.634872,14,59.323036
195.093828,182,59.571183
29.021457,21,59.600029
190.361935,140,59.791085
2.490735,39,59.843796
48.070795,37,59.894999
48.178661,55,59.972682
201.17877,162,60.201787
12.752644,17,60.224938
192.493936,162,60.447747
176.967724,101,60.587115
62.713374,71,60.685532
116.555648,100,61.196793
5.95101,15,61.218907
137.069262,129,61.405006
208.097317,130,61.593838
226.163174,178,61.845608
58.296072,72,61.949032
30.674103,23,61.983071
110.163887,50,62.058341
154.8873,176,62.307879
35.071373,51,62.380312
24.31807,26,62.416993
168.522148,103,62.560825
34.341772,27,62.597845
1.878968,12,62.614199
89.494049,61,62.703792
152.535368,189,62.971686
62.137087,48,63.04317
1272.377649,1000,64.844797
1300.141103,1000,66.265781
134.636414,101,66.411677
18.91071,40,66.469993
1433.354124,1000,68.114438
1441.095282,1000,69.517904
89.382757,47,69.58242
1445.445108,1000,71.31462
50.154937,40,71.372144
324.676355,267,71.751193
38.361694,23,71.782679
1414.843333,1000,73.175087
61.17638,105,73.32115
39.410663,44,73.382383
86.567589,58,73.46258
123.486053,105,73.608712
95.700693,78,73.917359
60.606074,44,73.984569
15.556755,11,74.000873
8.011967,36,74.052885
41.144767,50,74.127398
97.832556,63,74.216757
94.468306,91,74.348863
138.735406,93,74.483663
55.316656,46,74.553117
474.183624,337,75.027453
56.885263,62,75.114723
51.776579,33,75.162549
1087.063997,1000,76.55894
38.84986,35,76.606833
109.473875,85,76.723347
168.126719,133,77.29016
108.642827,157,77.516975
12.074528,19,77.544885
147.881595,123,77.715018
16.651409,25,77.748781
90.050372,58,77.82805
185.372418,104,77.971848
23.852395,29,78.011667
93.232984,60,78.095459
55.012115,74,78.205684
2.735123,79,78.318174
1150.864551,1000,79.727654
49.198949,71,79.828119
25.889273,19,79.854152
95.319073,93,79.98673
118.109192,67,80.2833
82.66109,40,80.339174
10.617902,30,80.380519
1011.80632,1000,81.779314
51.631368,62,81.867056
20.409231,26,81.902367
1162.317756,1000,83.611365
93.158829,64,83.699124
151.136375,131,83.88047
52.895304,60,83.96423
123.672438,75,84.06638
44.812404,47,84.132413
50.815576,45,84.195898
261.809481,212,84.489315
102.629917,80,84.600468
13.733511,28,84.638508
1021.109375,1000,86.021845
64.187432,61,86.104902
50.256676,33,86.151492
69.555707,93,86.610249
48.025805,56,86.688588
553.799906,361,87.193048
79.605521,83,87.306568
153.093934,131,87.485855
48.77448,35,87.534752
55.338602,33,87.579376
82.356973,77,87.684876
68.066243,56,87.761403
58.635513,36,87.810712
90.227752,65,87.900851
146.152971,101,88.038003
73.916743,41,88.096067
1033.643568,1000,89.765486
1157.307628,1000,91.167109
325.146691,210,91.452538
28.995773,37,91.502271
191.240023,134,91.682084
58.057632,37,91.733427
1313.572877,1000,93.387113
63.209885,40,93.441714
211.467866,170,93.678848
32.360117,26,93.715581
106.727607,89,93.838436
1407.206504,1000,95.243334
17.676639,89,95.368649
25.845038,45,95.431787
1078.036484,1000,96.986718
41.001375,51,97.056817
1467.731685,1000,98.44716
73.510875,84,98.565517
94.574804,139,99.099739
41.666357,26,99.135595
58.102497,70,99.232162
129.467813,109,99.385427
1065.862122,1000,100.783839
145.149017,100,100.923945
146.628944,103,101.066468
23.166251,14,101.085661
994.081881,1000,102.900958
151.664397,134,103.088684
1403.186321,1000,104.491547
25.43107,24,104.525033
26.562747,41,104.581606
99.154493,73,104.68245
947.145366,1000,106.349984
122.460711,76,106.458388
10.372704,22,106.489304
11.905458,60,106.573696
40.889069,38,106.62523
58.855395,57,106.703818
1145.598401,1000,108.102848
44.318214,66,108.195552
63.086605,70,108.293217
293.499218,248,108.903577
807.986045,795,109.997805
16.635971,16,110.020016
173.897225,111,110.173756
224.164723,199,110.45107
169.580103,95,110.582749
75.50394,106,110.727584
85.452621,62,110.813486
1228.102657,1000,112.40404
43.134165,30,112.44715
106.566276,74,112.551102
262.180387,190,112.818108
103.050074,75,112.922699
30.207132,26,112.959117
175.251849,110,113.111778
63.101253,71,113.210641
243.168863,171,113.447074
59.233674,33,113.492366
77.412989,53,113.565965
1132.510847,1000,115.339678
78.724914,60,115.422537
1425.712371,1000,116.820657
98.051985,107,116.968881
116.092365,75,117.071532
54.029633,48,117.137518
45.606097,26,117.173188
30.942414,32,117.217412
24.636264,15,117.238127
78.452724,77,117.34304
171.778084,100,117.481333
53.443216,47,117.545616
32.3718,30,117.586534
60.660759,47,117.649345
130.720529,150,118.148776
83.670256,50,118.217825
21.648824,27,118.255558
172.907147,103,118.400394
42.294168,71,118.501097
1253.904577,1000,119.909219
114.202541,127,120.083175
515.952798,392,120.629384
1069.900662,1000,122.351516
27.596873,12,122.368165
7.059001,9,122.380375
63.244297,69,122.473635
1054.580342,1000,123.863167
1218.802221,1000,125.477833
235.490393,166,125.710364
1452.386023,1000,127.305128
65.166387,39,127.362072
142.70981,133,127.548032
96.034587,105,127.696632
1355.350451,1000,129.09907
1163.72844,1000,130.785912
94.030557,92,130.912464
1398.086653,1000,132.308694
1376.487312,1000,133.915504
84.48971,32,133.959988
1366.133924,1000,135.362438
80.477345,69,135.457087
255.452593,261,135.815359
55.294524,35,135.86474
28.464552,18,135.889879
65.286323,34,135.938245
187.362109,129,136.119287
1503.130403,1000,137.81877
83.854412,67,137.912246
34.998709,27,137.949183
11.098525,16,137.971298
44.252567,47,138.036585
31.665925,20,138.064312
1479.840447,1000,139.496499
83.61167,77,139.835391
9.477594,16,139.858376
187.208452,140,140.053349
24.259313,43,140.113279
179.661653,215,140.406389
389.15692,285,140.803705
40.951754,28,140.842059
116.262211,95,140.973197
1367.917887,1000,142.368627
1415.405883,1000,143.991349
136.860877,121,144.162341
1159.990402,1000,145.564796
56.40754,23,145.596701
1265.718971,1000,147.206676
175.825889,210,147.502301
95.927232,82,147.617945
180.051669,148,147.825061
6.904473,21,147.854405
36.334188,22,147.884571
122.015265,193,148.154603
58.886961,51,148.227394
1192.294458,1000,149.793573
92.573655,66,149.883372
57.307485,71,149.981373
97.846779,94,150.111593
411.61592,307,150.534093
8.463434,13,150.551978
10.714721,11,150.567572
1374.390872,1000,152.22226
307.895402,174,152.468417
43.369276,46,152.533068
492.636437,341,153.010184
29.413769,34,153.05772
67.609345,46,153.122801
240.473487,186,153.378854
39.935034,30,153.420187
355.565883,232,153.742935
100.658759,82,153.856451
45.160364,37,153.908998
27.530809,26,153.946667
1177.147514,1000,155.583169
76.919585,73,155.684104
61.808013,43,155.74391
113.324695,95,155.877639
31.941834,24,155.910878
289.414939,222,156.21939
