#{"t_start": 1787792945.2038772, "env_id": "Ant-v5"}
r,l,t
16.42685,60,0.705886
64.299828,32,0.749961
16.430481,22,0.780008
37.33869,22,0.809968
154.580888,97,0.941095
85.224533,99,1.07395
47.004244,40,1.128063
46.427215,58,1.206658
13.731508,20,1.233863
18.054739,14,1.253408
990.287289,1000,2.622389
23.817103,36,2.671382
193.016456,204,2.947937
145.103195,66,3.037318
24.715568,32,3.080862
70.691191,91,3.205691
74.477019,103,3.349147
41.102062,36,3.398672
24.346947,14,3.417824
17.309126,19,4.526479
51.46338,39,4.582155
26.88504,30,4.624773
119.083623,55,4.699733
149.087018,136,4.88823
68.038537,53,4.961853
89.192062,75,5.065103
22.088866,21,5.093905
317.200493,217,5.394858
43.496825,48,5.461192
59.650381,73,5.563652
33.301627,25,5.598498
10.785997,46,5.661392
168.278502,146,5.861827
12.718823,45,5.923195
119.245477,92,6.049131
-2.997044,22,6.079824
10.80415,19,6.106843
927.816014,1000,8.249946
32.681949,34,8.295926
1362.22054,1000,9.676976
73.528722,69,9.770713
20.789922,26,9.806603
1415.513183,1000,11.904958
115.315597,109,12.05628
110.534028,88,12.178238
167.4366,115,12.334622
20.680007,28,12.372901
22.445346,32,12.416736
61.716867,81,12.52607
113.830195,102,12.665922
56.07681,39,12.719116
1161.503017,1000,14.120644
16.877755,14,14.140039
16.673593,36,14.189986
93.347913,88,14.310851
41.160836,30,14.352782
80.927155,39,14.407066
13.345683,38,14.45997
21.839894,26,15.40338
75.906591,66,15.500064
65.764864,30,15.54319
34.904616,25,15.578273
137.669811,113,15.735291
97.542053,94,15.867307
68.70639,63,15.956764
136.970243,92,16.085964
34.22711,64,16.174605
264.677003,179,16.420584
49.234701,56,16.496315
960.405713,1000,17.884894
16.267535,15,17.905494
1.438803,12,17.922401
154.233438,115,18.080881
35.764545,89,18.205644
47.359273,44,18.566782
38.822631,35,18.616989
224.050525,139,18.809634
106.290444,104,18.952195
104.697733,54,19.025897
987.332268,1000,20.467048
12.127802,22,20.498786
105.36877,81,20.615715
247.947745,120,20.784515
22.701783,38,20.836958
22.459464,24,20.870175
151.384214,151,21.080264
113.844043,69,21.174562
35.861178,22,21.206489
14.531552,32,21.250413
97.572047,60,21.332545
26.960587,58,21.415929
