policy_training_condition,policy_training_seed,evaluation_seed,damage_leg,damage_alpha,episode_return,episode_length,terminated_before_time_limit,forward_distance,mean_forward_speed,mean_abs_raw_command_actuator_0,mean_abs_raw_command_actuator_1,mean_abs_raw_command_actuator_2,mean_abs_raw_command_actuator_3,mean_abs_raw_command_actuator_4,mean_abs_raw_command_actuator_5,mean_abs_raw_command_actuator_6,mean_abs_raw_command_actuator_7,mean_abs_applied_command_actuator_0,mean_abs_applied_command_actuator_1,mean_abs_applied_command_actuator_2,mean_abs_applied_command_actuator_3,mean_abs_applied_command_actuator_4,mean_abs_applied_command_actuator_5,mean_abs_applied_command_actuator_6,mean_abs_applied_command_actuator_7
nominal,0,100,healthy,1.0,110.76004592769877,128,True,0.6889031391530096,0.10764111549265774,0.13476007813005708,0.13298711032257415,0.1843881113018142,0.18612177214527037,0.19513696573267225,0.19963428817573003,0.26381534458778333,0.23626362321374472,0.13476007813005708,0.13298711032257415,0.1843881113018142,0.18612177214527037,0.19513696573267225,0.19963428817573003,0.26381534458778333,0.23626362321374472
nominal,0,101,healthy,1.0,411.12940399011154,351,True,7.196577792763952,0.41006141269310264,0.14439682487897215,0.13949026577599197,0.18934833765709164,0.1769897931300507,0.20574444344007223,0.20054458654313176,0.2830251397251913,0.20372124515643655,0.14439682487897215,0.13949026577599197,0.18934833765709164,0.1769897931300507,0.20574444344007223,0.20054458654313176,0.2830251397251913,0.20372124515643655
nominal,0,102,healthy,1.0,432.74338421153277,535,True,0.9042267921556207,0.03380287073478956,0.12156044723831605,0.13928207627314831,0.1891309089749773,0.17567279891015214,0.17379817698394584,0.19690977862783682,0.2565200415378976,0.2257711982319706,0.12156044723831605,0.13928207627314831,0.1891309089749773,0.17567279891015214,0.17379817698394584,0.19690977862783682,0.2565200415378976,0.2257711982319706
nominal,0,103,healthy,1.0,102.4708385165174,62,True,2.7496745217696943,0.8869917812160304,0.15922545479430306,0.1410948739296967,0.20529241138888943,0.17834153224623972,0.2325291837295217,0.16095665650021646,0.258088453162101,0.1832251437008381,0.15922545479430306,0.1410948739296967,0.20529241138888943,0.17834153224623972,0.2325291837295217,0.16095665650021646,0.258088453162101,0.1832251437008381
nominal,0,104,healthy,1.0,529.593575060162,458,True,8.53988382136587,0.3729206908893392,0.13497565837381773,0.12879488797345925,0.18439985352149438,0.16012176212053503,0.18045802721875723,0.2068640509433231,0.25161378451635225,0.21071356353573664,0.13497565837381773,0.12879488797345925,0.18439985352149438,0.16012176212053503,0.18045802721875723,0.2068640509433231,0.25161378451635225,0.21071356353573664
nominal,0,105,healthy,1.0,247.00287988825033,260,True,2.416603383339465,0.1858925679491896,0.13271910870591036,0.14967798196639007,0.1811742462253628,0.17976060781198053,0.20404645078457317,0.20135547672040188,0.28461700970880116,0.19275538278027224,0.13271910870591036,0.14967798196639007,0.1811742462253628,0.17976060781198053,0.20404645078457317,0.20135547672040188,0.28461700970880116,0.19275538278027224
nominal,0,106,healthy,1.0,860.231580662216,1000,False,3.9508860740531926,0.07901772148106385,0.1267271172227338,0.12799975262582303,0.18470427345018833,0.1809888744400814,0.18594406784512102,0.19889715154841542,0.25750674366392196,0.2162340273950249,0.1267271172227338,0.12799975262582303,0.18470427345018833,0.1809888744400814,0.18594406784512102,0.19889715154841542,0.25750674366392196,0.2162340273950249
nominal,0,107,healthy,1.0,385.34701016850306,305,True,7.659220479463129,0.5022439658664347,0.13163502099694777,0.1357845501027635,0.180991772855403,0.18007805106214814,0.18998651740248085,0.20785534054529473,0.3033764664938704,0.20034273441758801,0.13163502099694777,0.1357845501027635,0.180991772855403,0.18007805106214814,0.18998651740248085,0.20785534054529473,0.3033764664938704,0.20034273441758801
nominal,0,108,healthy,1.0,351.5885899134601,462,True,0.03939581563432004,0.0017054465642562789,0.12657725335264103,0.13220726186208007,0.18846018606942003,0.18544531505135617,0.1974362488957001,0.2239821037132438,0.26452566951803574,0.23256620014533885,0.12657725335264103,0.13220726186208007,0.18846018606942003,0.18544531505135617,0.1974362488957001,0.2239821037132438,0.26452566951803574,0.23256620014533885
nominal,0,109,healthy,1.0,903.7284944578313,1000,False,4.665734489193232,0.09331468978386465,0.1107627824228257,0.13769437100552023,0.17943542436975984,0.16679579249583185,0.15620948455296457,0.19027125754393637,0.22471326777152717,0.20526395060215144,0.1107627824228257,0.13769437100552023,0.17943542436975984,0.16679579249583185,0.15620948455296457,0.19027125754393637,0.22471326777152717,0.20526395060215144
nominal,0,100,front_left,0.5,951.0835835012514,1000,False,4.769812926602307,0.09539625853204614,0.10980981568340212,0.11415644144639372,0.16711238469928502,0.16836599447019399,0.15056538315303625,0.18451998910680414,0.23195171801932157,0.19310416511353104,0.10980981568340212,0.11415644144639372,0.08355619234964251,0.08418299723509699,0.15056538315303625,0.18451998910680414,0.23195171801932157,0.19310416511353104
nominal,0,101,front_left,0.5,840.2538002472336,1000,False,-0.3689398177709283,-0.007378796355418566,0.10219443809613585,0.12465761013701558,0.18470304167550058,0.1656424992326647,0.15865804478526116,0.18494653296284377,0.22279583203792572,0.2216286425413564,0.10219443809613585,0.12465761013701558,0.09235152083775029,0.08282124961633235,0.15865804478526116,0.18494653296284377,0.22279583203792572,0.2216286425413564
nominal,0,102,front_left,0.5,718.1253967601613,603,True,11.230481900168565,0.3724869618629706,0.13022628306082232,0.12495796244659432,0.18063736813695822,0.16501911760772736,0.18676925299667552,0.21275331623308597,0.26444163368968526,0.20255335012472436,0.13022628306082232,0.12495796244659432,0.09031868406847911,0.08250955880386368,0.18676925299667552,0.21275331623308597,0.26444163368968526,0.20255335012472436
nominal,0,103,front_left,0.5,987.7804447841926,1000,False,7.642274421498815,0.1528454884299763,0.11889683979377151,0.11734685467369854,0.18460452369879932,0.17568924936838448,0.16821861619129777,0.19645741481892764,0.2516023752372712,0.20064610332995653,0.11889683979377151,0.11734685467369854,0.09230226184939966,0.08784462468419224,0.16821861619129777,0.19645741481892764,0.2516023752372712,0.20064610332995653
