policy_training_condition,policy_training_seed,evaluation_seed,damage_leg,damage_alpha,episode_return,episode_length,terminated_before_time_limit,forward_distance,mean_forward_speed,mean_abs_raw_command_actuator_0,mean_abs_raw_command_actuator_1,mean_abs_raw_command_actuator_2,mean_abs_raw_command_actuator_3,mean_abs_raw_command_actuator_4,mean_abs_raw_command_actuator_5,mean_abs_raw_command_actuator_6,mean_abs_raw_command_actuator_7,mean_abs_applied_command_actuator_0,mean_abs_applied_command_actuator_1,mean_abs_applied_command_actuator_2,mean_abs_applied_command_actuator_3,mean_abs_applied_command_actuator_4,mean_abs_applied_command_actuator_5,mean_abs_applied_command_actuator_6,mean_abs_applied_command_actuator_7
nominal,0,100,healthy,1.0,263.48384046790414,407,True,5.9464413200267385,0.29220841867453257,0.3399883440835287,0.3120289615536205,0.30458443623759235,0.3039855294716739,0.3308852756308982,0.2734348673455838,0.4057124335117437,0.30093275713539824,0.3399883440835287,0.3120289615536205,0.30458443623759235,0.3039855294716739,0.3308852756308982,0.2734348673455838,0.4057124335117437,0.30093275713539824
nominal,0,101,healthy,1.0,33.8786749552211,47,True,1.1705579632557894,0.49810977159820824,0.39674234271366543,0.3635075535387435,0.2658540446390497,0.2876979072201759,0.38040072883063175,0.2690547844196888,0.4460635713420491,0.3721461094757344,0.39674234271366543,0.3635075535387435,0.2658540446390497,0.2876979072201759,0.38040072883063175,0.2690547844196888,0.4460635713420491,0.3721461094757344
nominal,0,102,healthy,1.0,121.98234929589148,151,True,3.679879598299048,0.48740127129788713,0.37849734794496503,0.37867369939455925,0.23481198079538662,0.3315577483828494,0.32099461022591746,0.24550446826002456,0.38260619647011457,0.34363952794710534,0.37849734794496503,0.37867369939455925,0.23481198079538662,0.3315577483828494,0.32099461022591746,0.24550446826002456,0.38260619647011457,0.34363952794710534
nominal,0,103,healthy,1.0,105.8669996704661,118,True,3.24037304329526,0.5492157700500441,0.40102809441070686,0.3063061558720419,0.2735870347310931,0.2832455798604731,0.3418545270243944,0.2711548074385372,0.39702828146785624,0.29538592989793266,0.40102809441070686,0.3063061558720419,0.2735870347310931,0.2832455798604731,0.3418545270243944,0.2711548074385372,0.39702828146785624,0.29538592989793266
nominal,0,104,healthy,1.0,37.20363674157824,43,True,1.6052711179630985,0.7466377292851621,0.27921589877629693,0.43588005248890366,0.2942068912088871,0.36375380108176275,0.4154099423524945,0.3263619118478409,0.5340530613415636,0.3839446138157401,0.27921589877629693,0.43588005248890366,0.2942068912088871,0.36375380108176275,0.4154099423524945,0.3263619118478409,0.5340530613415636,0.3839446138157401
nominal,0,105,healthy,1.0,32.51668320232175,167,True,-1.1100592341417834,-0.13294122564572258,0.36296512337658043,0.34196959514014735,0.30743004209891767,0.31933261146267017,0.29012499696123384,0.25661882767063415,0.39202805582840344,0.3413700116742514,0.36296512337658043,0.34196959514014735,0.30743004209891767,0.31933261146267017,0.29012499696123384,0.25661882767063415,0.39202805582840344,0.3413700116742514
nominal,0,106,healthy,1.0,66.961488769463,61,True,2.819043429183861,0.9242765341586429,0.4034493867399507,0.3352784629239411,0.2962828766493524,0.38245066004942674,0.35180659286799976,0.2526313610619209,0.43920605461739126,0.4301522590342115,0.4034493867399507,0.3352784629239411,0.2962828766493524,0.38245066004942674,0.35180659286799976,0.2526313610619209,0.43920605461739126,0.4301522590342115
nominal,0,107,healthy,1.0,25.806161202882222,65,True,0.06524586734614006,0.02007565149112002,0.36323261581934413,0.31764810509406605,0.25819422104037726,0.26233244395026795,0.3656520938644042,0.28800705573879753,0.3760022445438573,0.2740880576463846,0.36323261581934413,0.31764810509406605,0.25819422104037726,0.26233244395026795,0.3656520938644042,0.28800705573879753,0.3760022445438573,0.2740880576463846
nominal,0,108,healthy,1.0,30.087583786806302,108,True,-0.5021973144733992,-0.09299950268025911,0.3587062024183709,0.2960312692793431,0.2534949895408418,0.31070185193998945,0.3211197931733396,0.23774872606413233,0.3984989249147475,0.2973363601292173,0.3587062024183709,0.2960312692793431,0.2534949895408418,0.31070185193998945,0.3211197931733396,0.23774872606413233,0.3984989249147475,0.2973363601292173
nominal,0,109,healthy,1.0,26.538133236139963,18,True,1.3186042139807332,1.4651157933119259,0.4159050420340564,0.3065829258412123,0.24517049143711725,0.35326339221662945,0.4274066160950396,0.3255959260794852,0.6089215808444552,0.4415813609957695,0.4159050420340564,0.3065829258412123,0.24517049143711725,0.35326339221662945,0.4274066160950396,0.3255959260794852,0.6089215808444552,0.4415813609957695
nominal,0,100,front_left,0.5,54.61940070045776,72,True,1.2361018255064664,0.34336161819624067,0.3475798448651201,0.3494103342398173,0.28295086205212605,0.3812799175373382,0.3454820483715998,0.26838005479011273,0.3737234046113574,0.32511149864229894,0.3475798448651201,0.3494103342398173,0.14147543102606303,0.1906399587686691,0.3454820483715998,0.26838005479011273,0.3737234046113574,0.32511149864229894
nominal,0,101,front_left,0.5,152.81596804630723,269,True,0.8475935123974739,0.0630181050109646,0.32872680710372426,0.33304453875218626,0.23742482635334522,0.29909521072659795,0.29201404456755486,0.2730692102258755,0.37255789858001703,0.28342964466952036,0.32872680710372426,0.33304453875218626,0.11871241317667261,0.14954760536329897,0.29201404456755486,0.2730692102258755,0.37255789858001703,0.28342964466952036
nominal,0,102,front_left,0.5,73.43984764102665,69,True,2.419326131912574,0.7012539512790069,0.4224466259280841,0.34949834839157434,0.23053571813996288,0.2854313379072625,0.34333636266165884,0.25653185069129086,0.4242900053673572,0.35215847604516626,0.4224466259280841,0.34949834839157434,0.11526785906998144,0.14271566895363125,0.34333636266165884,0.25653185069129086,0.4242900053673572,0.35215847604516626
nominal,0,103,front_left,0.5,245.0363875264579,238,True,6.960054149396925,0.5848784999493214,0.3553858493501712,0.2978599188739763,0.2682027430469249,0.3274949930076088,0.3389619820039062,0.24330718838022786,0.3889123186637342,0.351049104251531,0.3553858493501712,0.2978599188739763,0.13410137152346244,0.1637474965038044,0.3389619820039062,0.24330718838022786,0.3889123186637342,0.351049104251531
nominal,0,104,front_left,0.5,418.2249730914734,451,True,11.629996993385664,0.5157426604605616,0.3730129913495081,0.31748153097481524,0.27196666032505407,0.3346081941972947,0.34226091816492726,0.2911878662584494,0.4095944769168376,0.3240330687119004,0.3730129913495081,0.31748153097481524,0.13598333016252703,0.16730409709864735,0.34226091816492726,0.2911878662584494,0.4095944769168376,0.3240330687119004
nominal,0,105,front_left,0.5,4.266731686918841,27,True,-0.19186688569022756,-0.14212361902979817,0.29711282525763466,0.39903722841430594,0.24914064272134392,0.34390576652906557,0.3783565823126722,0.3021940637241911,0.43395198736753726,0.4280202830279315,0.29711282525763466,0.39903722841430594,0.12457032136067196,0.17195288326453279,0.3783565823126722,0.3021940637241911,0.43395198736753726,0.4280202830279315
nominal,0,106,front_left,0.5,380.92224130781443,426,True,9.611277807721887,0.45123369989304635,0.328393307711247,0.32994445866332367,0.273604979275118,0.3349011647449413,0.3130642040392183,0.24232428897819328,0.4109879908963006,0.338186488622371,0.328393307711247,0.32994445866332367,0.136802489637559,0.16745058237247065,0.3130642040392183,0.24232428897819328,0.4109879908963006,0.338186488622371
nominal,0,107,front_left,0.5,70.08817365934581,55,True,2.68229143919144,0.9753787051605236,0.39100882040167395,0.2981395904313434,0.23522433218630878,0.3310192640532147,0.36656693138859486,0.26350742063739085,0.4551172283816744,0.4300849533893845,0.39100882040167395,0.2981395904313434,0.11761216609315439,0.16550963202660735,0.36656693138859486,0.26350742063739085,0.4551172283816744,0.4300849533893845
nominal,0,108,front_left,0.5,44.08600797324969,90,True,0.4903124105232751,0.10895831344961669,0.34363952092826366,0.3868620098465019,0.24572465005848143,0.34210654803448254,0.3490635414918264,0.30428427403999697,0.3704062668606639,0.3053413011547592,0.34363952092826366,0.3868620098465019,0.12286232502924072,0.17105327401724127,0.3490635414918264,0.30428427403999697,0.3704062668606639,0.3053413011547592
nominal,0,109,front_left,0.5,212.33869623852135,181,True,6.920567446139828,0.7647035852088208,0.4129134803825156,0.306563302524676,0.2760231478438193,0.3167469147489874,0.34508320318730495,0.26306379049275463,0.4270791706747442,0.31079796837509005,0.4129134803825156,0.306563302524676,0.13801157392190966,0.1583734573744937,0.34508320318730495,0.26306379049275463,0.4270791706747442,0.31079796837509005
nominal,0,100,front_right,0.5,90.0937388760868,75,True,2.9563089162487235,0.7883490443329929,0.36597550713767607,0.3147511605421702,0.2292151914536953,0.34366660887996353,0.37042780250310897,0.2698136552174886,0.4444819690845907,0.30368394682804745,0.36597550713767607,0.3147511605421702,0.2292151914536953,0.34366660887996353,0.18521390125155449,0.1349068276087443,0.4444819690845907,0.30368394682804745
nominal,0,101,front_right,0.5,3.498141195266024,22,True,0.019694283331105067,0.017903893937368243,0.3607389385473322,0.45603987049650063,0.29281503961167554,0.32547481171786785,0.447396053170616,0.32120748287574813,0.531893977641382,0.42767519520765,0.3607389385473322,0.45603987049650063,0.29281503961167554,0.32547481171786785,0.223698026585308,0.16060374143787406,0.531893977641382,0.42767519520765
nominal,0,102,front_right,0.5,538.1218209302169,1000,False,0.7396591430701244,0.014793182861402488,0.3222034570835531,0.3139125460125506,0.25890525391697883,0.30435144012421367,0.3309981228671968,0.27579583030194044,0.3499795036054857,0.28511467229574916,0.3222034570835531,0.3139125460125506,0.25890525391697883,0.30435144012421367,0.1654990614335984,0.13789791515097022,0.3499795036054857,0.28511467229574916
