#{"t_start": 1787794877.491308, "env_id": "Ant-v5"}
r,l,t
10.494076,12,0.645154
8.7885,48,0.709093
190.024531,146,0.907129
11.071428,21,0.936025
24.45601,22,0.965916
39.941562,20,0.993606
1.95828,18,1.01838
18.468598,14,1.037843
5.909535,64,1.12719
15.422725,23,1.159067
20.579704,21,1.188193
15.485578,28,1.227517
76.141938,79,1.335707
75.378467,68,1.429692
201.702121,184,1.685358
15.8897,25,1.720979
-1.115958,18,1.745944
73.978784,30,1.787968
40.242388,36,1.838012
122.897176,86,1.957019
86.783231,75,2.060695
111.07721,105,2.20526
91.221227,59,2.287991
33.110534,34,2.335588
82.395345,97,2.470603
134.531249,131,2.649523
36.728799,24,2.682573
16.007655,32,2.726091
26.811685,18,2.750522
6.691096,12,2.766879
121.676249,77,2.871444
41.035435,22,2.902377
1265.035819,1000,5.361051
19.335306,16,5.383526
1140.892946,1000,6.776555
17.123826,17,6.800291
22.613744,17,6.823914
11.416139,52,6.895484
2.771686,13,6.913319
4.812275,18,6.938321
218.389652,197,7.211425
45.031839,25,7.245512
959.944614,1000,9.026637
43.099949,52,9.099873
98.801791,114,9.259076
62.595838,45,9.322208
11.992277,38,9.375532
25.588875,22,9.406399
57.457528,71,9.504633
91.329542,100,9.645304
95.755172,62,9.730632
131.221415,100,9.871347
5.521191,21,9.900885
66.199981,67,9.994536
1435.562101,1000,12.192396
29.257446,26,12.229764
20.475059,19,12.25676
108.175184,120,12.426948
96.586862,59,12.511026
38.348533,55,12.587465
80.050564,68,12.681533
136.993188,152,12.892493
131.484887,124,13.063411
25.847956,21,13.09195
40.44753,28,13.131224
24.421077,52,13.202441
46.861095,64,13.290601
159.450642,99,13.42955
71.599968,75,13.532617
27.556798,25,13.566759
16.783052,36,13.616218
4.306095,13,13.63415
40.091005,38,13.686366
140.562849,93,13.81261
22.312982,21,13.842026
1214.529095,1000,15.794193
70.775437,53,15.870931
50.708086,44,15.932381
105.642351,113,16.090191
111.939467,71,16.188343
120.582212,68,16.284451
47.455578,26,16.320122
16.595083,23,16.351732
37.853177,31,16.393776
160.667425,68,16.493045
127.115791,86,16.612877
160.056437,207,16.899465
44.483992,42,16.958128
201.682102,123,17.13061
0.470503,19,17.156337
150.518979,123,17.323594
15.682808,21,17.353049
39.280225,34,17.398829
60.781816,32,17.442746
40.633688,23,17.47393
1183.113028,1000,19.45217
71.016667,87,19.573733
105.828803,65,19.664937
95.90217,54,19.739135
18.977707,20,19.767215
49.74208,42,19.8257
39.149896,40,19.880795
100.435015,85,19.997578
17.809975,21,20.026754
21.541538,20,20.054127
123.597087,115,20.216795
33.725214,52,20.289411
1288.102425,1000,22.147961
34.870385,29,22.187891
83.442408,46,22.251101
105.559328,69,22.343878
165.091063,125,22.519923
31.520751,61,22.605216
36.042021,33,22.650291
225.038544,122,22.819157
32.341914,36,22.868365
2.087235,8,22.879456
56.772681,81,22.990251
37.049418,33,23.035658
80.474599,77,23.144508
8.906355,13,23.162278
40.471107,34,23.209519
120.843101,191,23.47323
81.200895,73,23.575065
5.757929,32,23.619495
0.426558,10,23.633987
38.474876,37,23.686359
5.510039,38,23.739891
117.748203,78,23.848751
241.708947,212,24.143253
8.814665,35,24.190507
21.834574,16,24.212293
9.759999,78,24.321382
17.826749,21,24.350368
23.553109,24,24.383095
72.479838,62,25.01072
41.531731,37,25.06173
138.490531,74,25.164053
88.271254,80,25.275325
53.690453,51,25.34567
64.795406,53,25.421281
14.600498,22,25.452328
116.496077,121,25.621035
226.771486,167,25.855264
58.655665,85,25.973284
10.404852,10,25.987019
7.251187,23,26.018943
92.391423,75,26.124097
-0.345327,13,26.142532
46.386731,43,26.20211
58.836598,71,26.301408
1129.476409,1000,27.708996
1016.839088,1000,29.52423
37.171646,31,29.567248
51.504397,43,29.628919
1398.358182,1000,31.046002
98.515003,54,31.121088
117.293845,91,31.871109
151.014669,87,31.994353
124.808297,128,32.174368
0.103969,29,32.215482
50.856549,40,32.271552
25.669387,17,32.295011
1362.992208,1000,33.702312
87.188631,74,33.805366
4.536962,18,33.83009
150.103109,88,33.951874
43.962121,29,33.991944
24.874663,23,34.023652
7.205847,12,34.040149
1389.714219,1000,35.908761
8.138816,30,35.951009
40.259061,39,36.007139
161.076243,109,36.15822
32.391442,15,36.179244
9.525718,9,36.191696
127.059302,109,36.33998
19.072814,17,36.363612
15.035684,21,36.393087
49.6562,92,36.518128
179.849044,106,36.67196
129.368387,62,36.758963
17.960779,23,36.790202
140.001256,85,36.908366
262.655865,234,37.236118
1318.767914,1000,39.155875
30.479666,34,39.202891
27.747441,83,39.317199
1326.451932,1000,40.722147
34.724065,22,40.753428
107.879236,64,40.844564
21.427858,42,40.902732
41.609776,28,40.941208
37.678752,51,41.010964
42.564203,73,41.112184
122.40414,128,41.287276
58.423786,48,41.738534
62.538629,45,41.804048
223.631071,146,42.007051
35.144951,32,42.051275
45.378943,66,42.140932
183.930112,118,42.301444
-1.466389,19,42.335547
26.314869,71,42.433081
13.764292,14,42.453859
19.41702,18,42.478422
348.790519,250,42.826932
100.979312,69,42.9225
75.134929,67,43.016613
179.223814,151,43.226435
21.548296,44,43.287858
12.580012,21,43.31688
34.006141,51,43.38816
18.639191,24,43.42181
136.072451,116,43.584805
59.012037,36,43.63456
136.413171,111,43.789094
23.744166,15,43.810189
119.038845,100,43.946512
30.769088,28,43.985742
13.42546,23,44.01702
128.086626,75,44.119271
1375.355944,1000,45.903735
125.433579,109,46.056673
109.765829,135,46.241556
24.365591,21,46.269919
116.776612,89,46.393118
156.058815,101,46.534035
38.540923,21,46.562672
96.780828,77,46.671397
18.491352,12,46.688074
49.708305,56,46.770516
24.507134,14,46.791196
172.354303,138,46.983315
108.150165,60,47.07018
23.115416,23,47.102914
17.465712,42,47.161524
75.058649,56,47.240912
15.02233,20,47.269514
155.081042,128,47.451709
1073.094722,1000,49.199152
75.631827,49,49.266871
110.051375,30,49.308752
83.039875,78,49.418506
62.810056,43,49.480319
67.191824,43,49.540381
351.983734,297,49.952758
72.41521,47,50.019861
22.536984,30,50.063029
1427.843622,1000,51.903151
96.229151,68,51.997225
205.830447,135,52.18495
1362.000258,1000,53.597737
30.055025,20,53.625805
69.59555,66,53.718992
26.783769,29,53.759942
8.504039,21,53.789049
104.149771,108,53.937506
108.838936,94,54.069887
82.715925,84,54.186019
94.516847,71,54.289058
80.583797,66,54.726464
5.175174,18,54.753395
25.74288,32,54.798819
35.932986,23,54.833781
238.472756,226,55.146832
406.136765,382,55.678807
71.326017,71,55.776963
49.160677,52,55.8489
171.666424,76,55.952875
24.552776,16,55.975343
86.764037,87,56.094883
141.573838,134,56.278718
9.347604,31,56.322647
277.224363,158,56.539076
291.470621,152,56.749406
135.320101,126,56.92805
80.17513,54,57.002248
13.928098,19,57.028153
82.843385,71,57.126582
82.554553,65,57.216681
30.26747,21,57.245753
246.541882,220,57.550527
4.174264,9,57.562968
95.469375,83,58.14371
18.312382,26,58.180557
15.860637,17,58.20542
48.416808,41,58.264829
88.080534,66,58.355111
37.488979,37,58.406302
51.461663,43,58.466081
52.713828,47,58.531621
43.485681,36,58.582563
-5.462169,22,58.61523
1256.892347,1000,60.021265
69.974453,48,60.09023
15.11073,45,60.152353
13.069952,10,60.165984
152.520369,90,60.290081
1066.483605,1000,61.995746
35.52696,20,62.024531
69.240429,67,62.116228
1027.346422,1000,63.530831
58.192774,61,63.617362
9.684931,19,63.644871
1352.225493,1000,65.3782
93.177044,89,65.504847
12.995858,13,65.523298
66.018335,72,65.625678
73.222114,54,65.703008
137.609683,79,65.81506
166.546056,111,65.970937
29.401909,43,66.032621
11.310029,34,66.081039
183.322602,99,66.218856
98.500695,87,66.339268
1165.791885,1000,68.109488
1317.55479,1000,69.515007
109.870836,68,69.610315
52.018554,41,69.671295
8.634119,19,69.698809
47.839367,57,69.780336
143.783367,84,69.896889
28.79459,70,69.995004
73.266866,76,70.10117
160.413955,143,70.30042
997.673335,1000,72.073833
220.136005,163,72.302778
28.243953,26,72.33945
117.296356,129,72.520847
4.489227,11,72.536108
78.437919,97,72.671429
180.964748,149,72.876597
1487.362519,1000,74.625978
1299.09209,1000,76.039499
22.580013,23,76.072145
81.563828,78,76.179669
26.621729,17,76.203272
111.481703,84,76.321736
343.602639,324,76.778331
237.335756,208,77.414404
44.997317,40,77.470972
91.858459,43,77.530953
-6.340504,24,77.563679
1363.717143,1000,78.970268
156.44043,115,79.139147
1054.954334,1000,80.879905
-1.678196,20,80.9073
230.12257,299,81.323512
123.942512,107,81.473956
331.399453,252,81.82901
23.825875,39,81.8825
66.288824,76,81.986428
115.401375,97,82.120134
38.177006,32,82.163384
19.085099,25,82.197873
1476.194954,1000,83.935341
78.53171,78,84.043054
20.667997,28,84.082979
18.491789,42,84.141421
94.878834,49,84.208661
54.390575,57,84.286273
23.330969,40,84.341653
112.540468,71,84.44037
75.443514,46,84.503789
1430.807991,1000,85.889975
25.236824,48,85.956309
977.268999,1000,87.750241
84.486199,91,87.876724
1498.044438,1000,89.295856
89.738895,58,89.376576
12.024315,23,89.408524
71.685646,50,89.479997
1468.703997,1000,91.228664
155.522609,126,91.406811
247.179211,172,91.647157
83.626564,70,91.749382
17.664268,12,91.768382
1012.562737,1000,93.476635
427.402345,262,93.835698
32.334662,42,93.89381
111.552249,74,93.994246
63.949538,49,94.061744
67.548654,75,94.164529
18.855699,14,94.183894
52.29333,58,94.262563
182.47733,147,94.466238
920.654801,1000,95.866196
116.294663,79,95.976192
82.555233,54,96.05181
259.80972,136,96.240341
1448.657258,1000,97.995754
55.655711,29,98.036058
75.83966,61,98.121473
29.241522,19,98.1487
311.647379,221,98.456309
90.192737,79,98.565527
107.229615,70,98.663038
20.118561,19,98.689232
25.348448,30,98.731836
18.661947,18,98.756915
34.35192,33,98.803454
132.984572,99,98.940114
57.745348,50,99.00923
391.105852,269,99.384865
1059.820908,1000,101.136918
3.460131,10,101.15163
1392.59227,1000,102.555881
84.878275,109,102.708632
80.931031,62,103.02792
1368.214943,1000,104.449595
59.421156,83,104.564522
153.655709,86,104.686619
37.836459,58,104.771335
25.265368,15,104.792743
52.321526,34,104.841639
262.398082,162,105.068692
59.578164,58,105.150705
16.886231,24,105.183746
64.002653,48,105.249023
1354.53997,1000,107.089074
80.559784,75,107.193692
138.487327,87,107.313752
65.489407,72,107.41631
39.493574,19,107.443123
102.837326,94,107.57053
215.890623,215,107.868119
112.089119,66,107.959988
31.93686,20,107.987236
209.561635,152,108.20037
112.058407,130,108.381524
1243.927098,1000,109.9958
295.47319,200,110.273242
1475.600909,1000,111.679826
110.049778,68,111.774304
57.326386,46,111.837798
133.958919,126,112.01499
28.764318,21,112.043984
39.27325,26,112.080782
46.063962,30,112.122391
93.913114,67,112.218813
39.090378,33,112.585231
74.883841,53,112.662552
1180.000514,1000,114.070101
78.647793,62,114.157344
38.385048,29,114.19698
48.292145,37,114.248032
11.980825,10,114.262172
1477.651839,1000,115.897879
199.168178,204,116.18375
241.113428,157,116.406619
209.561772,194,116.681253
73.055196,80,116.793734
1017.121461,1000,118.206762
35.547446,47,118.27211
1434.03845,1000,119.893678
313.720796,242,120.23705
166.672614,92,120.365446
74.204729,54,120.441163
124.816561,85,120.559119
15.135101,12,120.581928
1389.343638,1000,122.326033
38.763321,22,122.356704
48.097659,32,122.400767
114.225682,88,122.521826
1352.39745,1000,123.925607
45.591031,51,123.996063
80.158331,94,124.130255
1413.183714,1000,125.79047
55.317004,48,125.858255
1298.068573,1000,127.260124
397.317528,295,127.676698
1320.827449,1000,129.25364
257.468701,194,129.527574
110.912993,77,129.640535
65.32233,50,129.710662
82.418328,63,129.796995
327.606891,222,130.115329
1464.488069,1000,131.759919
6.428682,17,131.785646
1445.759366,1000,133.284002
69.84646,56,133.363175
1462.492338,1000,135.02968
1431.717263,1000,136.456164
58.879356,42,136.515867
31.997965,22,136.54788
12.462791,68,136.642328
76.590456,43,136.702615
12.15923,13,136.721905
31.27903,37,136.774219
54.278052,36,136.823578
499.246284,484,137.739422
152.176218,116,137.907248
25.142524,20,137.937486
8.946483,10,137.952362
93.901777,73,138.056374
5.058024,24,138.090249
120.183198,111,138.24503
11.272145,19,138.272399
19.190985,28,138.311731
98.157585,52,138.384175
1198.208908,1000,139.798784
1165.174809,1000,141.421804
43.957783,66,141.512545
20.43723,37,141.566438
45.746665,38,141.618744
216.769158,161,141.846278
1221.628489,1000,143.247115
58.572028,54,143.322898
-5.749941,25,143.358589
192.719503,149,143.564767
245.443479,136,143.900198
16.989409,16,143.923746
29.504315,34,143.971419
17.578747,20,143.998742
416.74143,323,144.453202
37.807377,24,144.486992
145.237962,100,144.630232
100.913713,66,144.723614
1451.783586,1000,146.135231
197.542629,175,146.376666
112.173442,81,146.489272
43.442309,22,146.519652
1498.468342,1000,148.273279
1338.703692,1000,149.687052
1475.635594,1000,151.333936
268.313691,238,151.665006
53.552752,32,151.709314
33.799598,24,151.742444
1027.792215,1000,153.339627
46.647234,35,153.389722
104.29584,124,153.562729
283.93652,186,153.827356
182.168897,119,153.998469
70.776589,78,154.107073
26.181757,39,154.161892
651.406161,420,154.751846
1329.324872,1000,156.42102
98.54937,66,156.514686
1258.813992,1000,157.933346
67.599002,77,158.039711
418.096713,340,158.513859
58.457867,60,158.598849
198.17928,157,158.826811
1385.480449,1000,160.440537
131.542023,98,160.580703
255.663844,241,160.920475
1479.13502,1000,162.356158
362.567649,292,162.96235
37.462003,20,162.990296
989.860696,1000,164.417434
63.225761,85,164.535261
70.959862,56,164.613067
68.744646,68,164.708109
1564.469638,1000,166.432029
1256.639076,1000,167.845153
1381.75913,1000,169.435475
1149.124293,1000,170.8547
241.378465,291,171.254877
1126.820507,1000,172.979575
993.716092,1000,174.381062
327.496231,244,174.724121
1483.690774,1000,176.337592
27.145511,35,176.386772
90.751723,125,176.561783
151.349234,93,176.693496
219.783872,167,176.927221
1361.136313,1000,178.673101
59.783842,46,178.736213
68.54189,65,178.824609
1090.06443,1000,180.239326
23.133141,14,180.258996
61.244482,58,180.339065
65.129004,48,180.405648
204.40027,107,180.552317
91.783667,63,180.63861
253.860971,225,180.950186
1050.37239,1000,182.519775
1377.919477,1000,183.919098
32.568936,15,183.94002
105.736636,100,184.079914
95.542663,108,184.231526
106.811987,79,184.5817
111.457138,89,184.703892
1290.48288,1000,186.107787
17.181047,30,186.150539
164.111026,94,186.281919
51.190898,39,186.336189
87.670772,55,186.41384
46.910655,40,186.470048
128.414015,90,186.593395
1141.574463,1000,188.215856
152.653297,108,188.364287
177.499506,122,188.535614
55.637432,50,188.605248
1111.776331,1000,190.033401
48.44369,56,190.113488
173.302707,109,190.272107
76.750951,146,190.474743
230.947294,156,190.920506
63.239429,39,190.976171
1420.014352,1000,192.397675
99.545832,83,192.51132
89.39006,85,192.629905
118.351793,62,192.715985
22.507347,28,192.756764
1234.935495,1000,194.46799
96.597406,79,194.579255
375.497267,315,195.023623
279.407683,182,195.280647
1352.538314,1000,196.704163
37.446094,21,196.733998
67.576028,59,196.816545
1309.072961,1000,198.490836
105.270502,80,198.602684
107.76393,147,198.81148
1492.447282,1000,200.407687
34.554401,34,200.455058
357.952629,222,200.765866
175.486171,137,200.955261
229.793659,162,201.182716
1545.875849,1000,202.605056
137.00924,111,202.75807
68.974548,38,202.811162
43.929876,45,202.874298
89.173289,74,202.976696
211.8937,267,203.553576
107.831272,104,203.69897
1471.557951,1000,205.120807
25.82679,17,205.144756
529.365935,355,205.643441
1038.079979,1000,207.181556
156.19805,121,207.352248
1369.276587,1000,208.777462
112.678255,120,208.946024
514.431276,409,209.669526
9.080981,11,209.684725
1445.835086,1000,211.114928
48.901639,32,211.160796
69.008411,45,211.223269
39.810131,29,211.263625
12.835568,13,211.281544
29.52152,26,211.318291
22.142609,21,211.347744
104.229103,67,211.44064
161.002445,117,211.604576
64.355069,56,211.68421
14.516295,18,211.709153
31.735284,28,211.747682
23.423768,21,211.776659
1320.703217,1000,213.368569
58.539223,40,213.426277
1240.135901,1000,214.841615
77.4313,54,214.917939
78.223547,77,215.024601
1338.126043,1000,216.713663
1436.825941,1000,218.124935
233.046534,185,218.387054
43.839019,47,218.457798
1507.250844,1000,220.103914
115.502362,132,220.288506
1190.845763,1000,221.962578
32.383436,27,222.000617
67.835605,68,222.093845
45.930116,51,222.164479
1456.441044,1000,223.577947
66.332157,61,223.662259
32.376133,28,223.700927
201.546744,173,223.94202
222.954798,177,224.192694
1107.576789,1000,225.76788
130.118245,124,225.944176
171.333704,180,226.19539
1051.776539,1000,227.609293
1339.840692,1000,229.115292
1323.143353,1000,230.525209
60.954258,45,230.590436
62.124186,41,230.64721
41.35231,60,230.733378
1074.237241,1000,232.441331
27.558207,31,232.487096
129.35009,113,232.6512
52.211543,46,232.715401
1033.585662,1000,234.249214
1260.389001,1000,235.675356
283.938748,201,235.957596
160.184302,120,236.12653
297.626655,209,236.420617
24.205255,15,236.442852
167.410419,131,236.630127
1268.864509,1000,238.350301
202.524214,179,238.607148
262.458483,184,238.872229
197.749322,130,239.053363
265.583096,181,239.30658
352.801602,335,239.778235
317.81108,199,240.061339
119.904917,136,240.545449
116.296294,83,240.66961
15.701948,32,240.716232
48.007886,78,240.825449
71.491457,64,240.916718
83.669511,69,241.013821
950.372033,612,241.876276
240.63511,166,242.109448
1527.106263,1000,243.747398
261.582594,195,244.020211
419.453931,366,244.534645
85.933755,59,244.616517
1460.876737,1000,246.030474
5.112526,14,246.050317
1444.433337,1000,247.681001
198.48,134,247.873325
1381.94042,1000,249.285103
69.925127,65,249.374303
19.594115,12,249.390902
1570.422775,1000,250.966241
68.069777,30,251.008234
34.355852,23,251.040622
132.619437,96,251.175991
1140.937943,1000,252.587285
1168.853342,1000,254.250035
43.746754,41,254.307317
92.644981,96,254.444555
43.2877,47,254.509183
81.979203,68,254.606826
95.759022,78,254.715589
245.505262,181,254.975005
1076.775813,1000,256.53515
54.723207,32,256.580304
81.650747,78,256.688659
295.63062,270,257.074071
216.300951,128,257.254497
333.857709,248,257.605325
134.305042,97,257.739613
120.248969,129,257.918584
1340.373316,1000,259.565978
1467.455327,1000,260.987052
1106.901393,1000,262.611366
441.04398,274,263.001978
24.344188,24,263.035952
296.030632,180,263.290064
1153.098144,1000,264.699404
166.213286,121,264.87183
12.396539,15,264.89514
313.341042,191,265.319081
130.167007,97,265.455976
595.018766,561,266.248483
42.493647,35,266.297694
1522.521854,1000,267.716456
235.22245,189,267.981988
20.231633,20,268.009584
44.790729,44,268.070698
53.803959,58,268.151383
1557.9262,1000,269.722691
35.482204,28,269.763461
21.487287,31,269.807369
23.129827,42,269.865978
25.02305,22,269.89714
1067.218137,1000,271.43711
394.060458,362,271.939161
85.449415,85,272.060047
1461.286674,1000,273.488798
1102.554866,1000,275.071685
127.798899,146,275.275967
74.354713,62,275.363368
74.322071,70,275.462662
76.949644,62,275.549785
346.844659,221,275.861176
300.344363,243,276.198712
94.758166,65,276.288753
135.254158,103,276.431182
26.071162,15,276.451815
1142.210382,1000,278.019799
1245.907726,1000,279.439571
174.939239,158,279.661334
33.053469,36,279.712742
136.429145,96,279.848746
81.864326,94,279.97945
1351.60878,1000,281.637207
1454.592782,1000,283.060579
1437.172807,1000,284.686937
1536.498845,1000,286.084298
115.415078,108,286.234006
1149.030144,1000,287.830287
0.516512,23,287.861863
368.429701,360,288.366469
70.517251,77,288.473485
306.237094,260,288.838506
48.627056,29,288.879551
126.913984,99,289.020477
130.756333,101,289.168836
154.881152,82,289.284721
49.411,79,289.393433
39.823442,18,289.418041
1333.410752,1000,290.937016
1103.094964,1000,292.341508
1352.350888,1000,293.963827
38.519384,48,294.031332
108.713459,73,294.134368
121.421833,102,294.277435
1185.261091,1000,295.691045
212.178735,156,296.105343
1578.835794,1000,297.52167
105.979195,85,297.644132
1446.468653,1000,299.179626
1236.422492,1000,300.578456
1476.157501,1000,302.176178
1271.703808,1000,303.595301
373.741751,252,303.945352
142.596058,65,304.034284
70.213469,125,304.209359
110.302536,70,304.30814
47.925073,43,304.367856
1389.455153,1000,305.909108
575.29647,408,306.474745
485.731671,288,306.877072
188.380388,234,307.2044
355.629268,239,307.54296
122.734782,126,307.721623
1068.082263,1000,309.315599
403.171344,363,309.829166
100.119466,70,309.925686
29.855796,22,309.956313
1200.681488,1000,311.607195
214.549687,157,311.836466
146.264281,92,311.964033
585.528745,520,312.697497
65.492174,71,312.800375
60.059484,38,312.854956
59.082325,50,312.925045
99.368571,75,313.03117
222.037603,199,313.311992
283.932328,203,313.602263
1391.545627,1000,315.169106
1548.231005,1000,316.587356
273.681909,245,316.929561
97.234187,74,317.035945
1600.576294,1000,318.732917
489.567945,307,319.162255
63.914994,54,319.236956
54.763206,62,319.323804
49.094359,41,319.382364
75.42769,58,319.465978
1517.724936,1000,321.078881
123.843807,136,321.270777
331.907677,208,321.562352
137.655905,117,321.730513
1472.217606,1000,323.147657
394.242064,281,323.802935
83.038706,85,323.921695
547.381247,407,324.49317
447.733651,276,324.883044
28.755528,43,324.942544
133.429876,129,325.122227
1432.904293,1000,326.530049
1164.929945,1000,328.220804
1175.024065,1000,329.646906
90.112834,72,329.747897
1199.972996,1000,331.277605
100.925921,91,331.402658
80.163679,89,331.531735
53.058497,31,331.576902
142.788688,126,331.757301
1168.324403,1000,333.392617
17.432825,16,333.415431
1374.997661,1000,334.825679
43.214766,35,334.874975
123.124788,85,334.994202
1600.059082,1000,336.665856
1409.68578,1000,338.088174
370.431499,369,338.604474
114.47802,101,338.744672
1452.317002,1000,340.399919
1268.66412,1000,341.815192
618.757094,409,342.560203
636.12861,411,343.137787
