#{"t_start": 1787789189.3213632, "env_id": "Ant-v5"}
r,l,t
63.572015,64,0.709616
85.981154,57,0.785159
17.880006,28,0.822453
15.362053,48,0.887029
-4.79475,39,0.9408
99.726198,72,1.037797
10.879913,28,1.075768
18.238822,26,1.110806
2.184014,19,1.136386
33.099071,20,1.163404
929.577537,1000,2.532301
39.027636,40,2.58638
45.693175,42,2.642949
18.097507,25,2.676411
56.070277,62,2.76194
34.955433,69,2.854674
42.452832,30,2.894246
67.055246,86,3.00835
128.037023,91,3.129448
49.832685,48,3.1936
23.006827,57,3.268588
55.150563,66,3.356183
-4.375552,37,3.94194
981.085019,1000,5.300917
25.815608,19,5.326478
884.27418,1000,6.677513
8.724251,16,6.69913
190.807387,125,7.866439
979.766691,1000,9.225285
18.155223,20,9.252445
147.408159,110,9.398069
129.227485,110,9.543611
50.909168,65,9.629909
35.42206,39,9.682627
8.064383,10,9.696443
11.682663,37,9.747159
29.757979,45,9.808651
3.900465,22,9.838265
21.091626,27,9.874552
5.046766,18,9.899105
31.712539,53,9.970341
18.696477,21,9.998814
-3.911533,13,10.016364
46.269261,44,10.075673
51.64921,48,10.139252
27.785777,24,10.171215
19.903222,26,10.205817
66.354927,96,10.335785
44.851309,47,10.399443
49.46739,88,10.976089
110.085982,105,11.118011
32.211417,57,11.195312
60.407411,60,11.276703
65.502925,60,11.358204
60.828883,37,11.407931
5.934512,14,11.42676
951.814667,1000,12.794918
43.932686,52,12.864881
-5.138337,35,12.911759
6.891386,19,12.93722
62.04219,41,12.992606
66.61081,63,13.076154
23.312114,31,13.11736
88.026591,66,13.205207
34.990414,26,13.239611
206.699854,191,13.495728
0.626718,14,13.514416
164.803901,134,13.692856
143.777759,75,14.46111
52.113865,57,14.538632
8.248088,29,14.578714
11.510586,73,14.677253
20.319338,89,14.797261
18.843392,28,14.836169
7.089526,19,14.862002
18.040849,21,14.89019
997.02427,1000,16.257369
25.419002,26,16.293393
76.981828,73,16.394553
941.261937,1000,18.291002
105.576583,77,18.396247
54.223436,50,18.463818
40.855995,81,18.572661
1.926001,20,18.599344
20.22333,18,18.623236
3.01375,15,18.643517
71.112418,39,18.69557
13.9224,35,18.741765
17.054972,17,18.764572
963.476606,1000,20.125385
105.687751,78,20.230074
45.719498,72,20.326896
7.658193,21,20.354974
39.96426,31,20.396585
990.299896,1000,22.176054
28.329888,41,22.230112
78.421496,77,22.331502
26.97188,21,22.359281
39.792051,27,22.394813
956.070418,1000,24.132628
1062.840715,1000,25.49699
127.140513,106,25.642831
92.912957,140,25.834516
39.809897,50,25.905188
26.560885,34,25.952575
79.488262,64,26.03916
10.130062,27,26.079919
1029.946423,1000,27.806206
17.887874,43,27.864328
12.186848,14,27.883627
78.32434,58,27.964112
20.632197,16,27.986472
23.195443,30,28.027236
114.953792,107,28.170717
113.320279,104,28.310028
57.776802,57,28.386724
135.733857,71,28.482175
120.041195,121,28.645643
151.866484,115,28.800773
15.331952,25,28.834866
39.542344,66,28.925116
11.92364,18,28.949436
99.157447,76,29.050472
30.276438,29,29.089021
87.059193,84,29.202153
123.603939,76,29.302376
10.835352,10,29.315735
33.680889,35,29.361866
961.629069,1000,31.095603
95.067005,100,31.230083
106.168819,106,31.371015
16.748292,15,31.390682
15.824326,17,31.413463
39.746609,47,31.475373
27.506006,72,31.57064
36.922387,34,31.616095
9.525273,20,31.642847
55.263891,82,31.752435
41.711872,44,31.811567
100.499291,95,31.943424
33.109565,37,31.994797
36.298664,60,32.075131
23.219723,23,32.105799
1018.447962,1000,34.016484
13.007751,16,34.038723
10.255115,15,34.058807
90.507453,97,34.188559
15.072946,23,34.220755
215.051548,174,34.456753
223.494158,182,34.702865
27.774884,19,34.729387
53.645745,78,34.836473
105.090903,88,34.956427
38.534002,34,35.002149
6.024797,7,35.0114
66.514779,61,35.09378
75.159534,60,35.174427
7.146999,38,35.225674
952.660737,1000,36.961961
978.115978,1000,38.326589
28.281897,39,38.379307
38.817683,51,38.450235
42.976294,30,38.491147
55.908,55,38.564728
18.038272,26,38.600353
25.203594,28,38.63798
62.020467,87,38.754427
61.087147,61,38.837611
955.959603,1000,40.528219
93.975838,75,40.637319
135.889598,104,40.777595
35.687748,59,40.857958
18.030647,26,40.894265
52.321477,124,41.062346
979.830113,1000,42.433448
73.84716,72,42.536296
32.27005,36,42.5851
12.519399,12,42.601574
93.230635,80,42.709307
17.255787,12,42.725503
151.377752,130,43.224419
7.850224,12,43.240778
994.770396,1000,44.608525
64.780456,108,44.753424
80.575976,71,44.849489
44.355543,43,44.908026
11.147378,11,44.922767
15.605487,23,44.953749
17.798998,18,44.978081
10.132293,27,45.014592
27.275987,28,45.053208
969.915025,1000,46.749138
151.047016,173,46.986251
32.656603,25,47.021451
90.128183,54,47.095419
971.559248,1000,48.469642
121.691464,145,48.66597
20.02669,32,48.710574
160.717684,136,48.897896
25.790859,26,48.933398
187.06221,192,49.528493
21.163021,17,49.551513
116.05725,97,49.684959
113.83007,103,49.828077
84.879507,89,49.949717
31.794898,34,49.996279
112.311226,112,50.156135
19.401784,24,50.189883
15.167684,41,50.246198
66.239967,74,50.348094
998.206513,1000,51.732061
67.842499,43,51.790307
103.994606,110,51.94072
34.355277,47,52.004644
61.844682,63,52.090668
109.918415,131,52.69417
102.459463,65,52.782778
30.36137,20,52.809975
1061.019273,1000,54.206428
159.792255,176,54.445574
165.698046,130,54.620253
49.539967,39,54.672791
31.415086,17,54.695812
77.071879,99,54.829451
1096.438689,1000,56.610361
224.776167,122,56.775597
125.318838,97,56.905562
10.169741,27,56.941605
215.951866,245,57.273958
39.711709,56,57.350491
47.065729,69,57.445701
48.114585,40,57.500119
15.162339,18,57.524155
1054.587773,1000,59.228992
68.395287,40,59.283282
39.797366,41,59.33814
4.280549,7,59.347713
54.170149,38,59.398218
262.689287,243,59.72883
58.695055,51,59.798484
44.620698,34,59.844443
64.978405,54,59.917381
108.49356,82,60.029217
42.225633,64,60.116979
14.983755,21,60.145764
191.533978,216,60.444004
1031.267086,1000,62.041726
50.011694,68,62.137286
23.593221,27,62.173961
992.604987,1000,63.545287
129.218202,69,63.639596
27.458694,19,63.665524
53.186149,54,63.739275
58.011681,49,63.805517
8.079119,11,63.82085
30.312432,42,63.879658
57.337172,42,63.938043
44.763453,44,63.998219
53.933861,48,64.064297
65.277375,64,64.151847
986.284926,1000,65.874819
103.959197,93,66.003466
29.107478,33,66.049236
1106.748557,1000,67.414981
28.294022,20,67.442007
88.732136,94,67.570577
1036.144944,1000,69.459175
991.02924,1000,70.826818
116.253669,86,70.945213
122.927146,101,71.083284
41.812062,52,71.153665
42.288592,97,71.284827
-5.455329,32,71.757442
26.410431,63,71.84624
17.247606,78,71.951932
182.856389,117,72.110591
23.269929,28,72.147807
57.36324,76,72.250893
149.942655,130,72.430983
108.890186,113,72.582745
85.315734,71,72.678218
105.5754,76,72.781702
113.142658,79,72.8912
160.296771,124,73.061292
1057.005696,1000,74.441494
55.434717,53,74.514316
31.733454,34,74.838586
20.712524,38,74.892282
1052.347369,1000,76.264046
65.91494,67,76.356468
107.825788,111,76.512604
39.232432,30,76.553656
24.988621,39,76.607435
17.654954,26,76.643419
156.398813,225,76.950311
55.031684,44,77.01034
40.570102,42,77.068192
37.142911,60,77.149657
52.317837,64,77.237046
54.95651,27,77.273863
45.157096,42,77.329983
9.37118,12,77.346274
1070.357393,1000,79.051303
22.207163,32,79.095839
19.894816,22,79.131966
18.834554,26,79.167216
119.714471,110,79.316896
32.974353,26,79.352157
70.125678,88,79.471772
27.593657,47,79.534971
207.72096,252,79.873768
1047.545245,1000,81.574477
173.316247,128,81.749915
52.904089,62,81.835032
53.132354,65,81.924014
15.747275,37,81.9745
207.917588,183,82.224782
1049.575282,1000,83.612133
69.054342,76,83.715126
41.85778,31,83.756982
1088.501357,1000,85.632566
191.552955,110,85.780886
30.579699,23,85.813121
23.369979,33,85.857927
46.741587,40,85.912172
1080.791673,1000,87.614404
199.279337,148,87.811704
331.119821,233,88.125964
126.178111,83,88.238175
59.000681,121,88.402455
106.816554,71,88.500259
32.533921,44,88.562075
-22.494526,51,88.634486
48.258207,52,88.706359
154.245247,204,88.985825
12.739457,27,89.022885
90.824068,124,89.192181
23.701717,53,89.266289
12.075945,13,89.283674
1049.334115,1000,90.88808
1032.210027,1000,92.268556
150.551271,129,92.444388
37.563187,49,92.510729
1044.537414,1000,94.083317
28.311266,22,94.113167
25.398047,14,94.132118
49.665114,42,94.189559
8.912276,19,94.215169
37.98,54,94.288403
3.181409,11,94.303525
28.029887,22,94.333595
11.181654,16,94.355408
144.765408,127,94.52919
44.602437,46,94.595884
54.236751,36,94.646906
130.815227,130,94.826374
1016.222024,1000,96.205098
1111.097732,1000,97.898796
23.666855,49,97.966291
22.631602,15,97.986617
68.09552,121,98.151659
246.154851,227,98.45524
55.996339,45,98.51522
1088.596634,1000,100.26266
34.165996,27,100.299375
368.895113,284,100.681985
44.826027,64,100.770417
17.787387,27,100.807621
25.199426,21,100.837284
18.775732,29,100.876956
106.150949,60,100.95838
111.558183,90,101.080385
27.739557,31,101.12276
10.983467,12,101.139222
1051.161081,1000,102.511881
1132.293963,1000,104.247377
268.052937,164,104.469703
10.874193,12,104.485759
109.15945,83,104.59636
29.629855,92,104.723899
29.143391,35,104.773203
129.412634,117,104.931885
58.019887,62,105.016127
218.225891,177,105.255524
97.90554,107,105.400832
31.014939,20,105.42826
69.826077,83,105.540523
103.293462,90,105.663159
76.627253,101,105.800884
103.457584,77,106.149605
24.998812,29,106.189926
51.581934,64,106.277833
1093.537247,1000,107.662112
1105.830045,1000,109.423028
85.95208,84,109.53862
209.22513,163,109.7613
1082.861085,1000,111.139027
69.973457,98,111.271153
71.649257,63,111.35804
122.453971,120,111.521982
117.861079,99,111.655672
192.147188,151,111.861072
26.923657,30,111.902701
91.51881,80,112.013502
30.408321,37,112.064282
83.094783,86,112.401461
183.393592,134,112.59023
9.458392,10,112.604193
1099.063526,1000,113.980812
1102.703377,1000,115.568527
62.894507,79,115.677055
56.944505,38,115.729859
15.706682,32,115.774072
1116.828947,1000,117.173171
69.800392,47,117.237719
1172.511553,1000,118.892461
163.754765,113,119.051025
95.009716,89,119.172693
34.924506,28,119.211567
1193.707962,1000,120.601977
66.90827,75,120.705529
1096.487368,1000,122.404056
114.514773,120,122.571504
1162.477598,1000,123.94318
16.739121,18,123.967534
84.625426,72,124.06606
38.622046,33,124.111632
24.561278,23,124.14292
43.347167,59,124.222663
23.922546,32,124.266676
-2.088858,9,124.279565
1150.103591,1000,125.917044
6.557642,11,125.931694
1176.254779,1000,127.316442
92.707828,65,127.40511
137.14277,139,127.917565
48.618045,24,127.951445
61.897481,55,128.027798
146.808544,152,128.23679
55.218549,40,128.292219
94.542383,70,128.388759
68.358678,63,128.474827
1148.908802,1000,129.847267
90.993208,115,130.004661
23.441063,29,130.044824
51.847131,46,130.108754
40.863699,55,130.185426
91.582519,79,130.293531
1124.138212,1000,131.968498
42.98002,44,132.028165
13.488973,14,132.047068
44.475712,36,132.096034
23.714148,41,132.151059
45.605046,40,132.204989
1178.471356,1000,133.574961
1144.230875,1000,135.185402
1202.601541,1000,136.553805
12.803944,18,136.578347
1160.276135,1000,138.243474
122.949005,71,138.338294
56.977147,39,138.390243
55.889126,33,138.434884
1152.330283,1000,139.806883
115.536901,93,139.929867
37.787163,74,140.292606
37.376106,31,140.333778
61.055056,38,140.386993
506.740361,379,140.899256
100.303688,56,140.976129
102.745091,91,141.103252
49.067176,38,141.156662
1138.928614,1000,142.534181
28.83267,36,142.582886
1186.661806,1000,144.186722
124.818191,102,144.325324
77.656973,75,144.424534
26.300867,38,144.476004
1142.295022,1000,145.859982
29.329113,33,145.904658
244.069626,218,146.43012
107.060448,89,146.546259
118.147708,69,146.639122
1131.474759,1000,148.011486
137.626471,113,148.164507
13.316027,36,148.213243
295.497804,248,148.552824
29.925621,56,148.628461
32.209229,21,148.65672
112.185003,99,148.791669
100.003601,144,148.989804
119.748285,104,149.409887
1113.302013,1000,150.78752
13.379942,17,150.811595
1039.210127,789,151.899415
49.849431,78,152.004825
49.629407,34,152.050955
247.895295,232,152.589341
1194.487996,1000,153.962147
1095.281807,1000,155.565757
1123.306634,1000,156.932678
1151.289025,1000,158.624442
79.798607,98,158.761832
67.598108,50,158.830738
82.786825,81,158.946752
41.036902,39,159.000501
30.196381,39,159.05366
39.300052,28,159.092032
75.844231,58,159.17108
15.115455,20,159.198059
147.913408,59,159.280323
1185.23897,1000,160.664535
25.227153,18,160.689972
1147.348282,1000,162.296023
25.798094,24,162.32829
292.952836,207,162.610403
146.833392,128,162.784046
121.452702,104,162.925884
128.376125,132,163.106903
20.718297,15,163.128439
18.686853,16,163.150478
