#{"t_start": 1787789189.324155, "env_id": "Ant-v5"}
r,l,t
20.913456,27,0.656387
97.533037,78,0.761421
7.686085,46,0.822758
40.81785,36,0.871042
26.812066,24,0.903361
72.838442,80,1.012083
22.544399,57,1.089363
42.192417,27,1.125587
25.449393,44,1.184908
12.951337,20,1.212205
69.341558,54,1.285309
12.332382,18,1.309927
36.322974,37,1.360604
42.292315,44,1.420171
79.520429,121,1.588344
-5.786761,68,1.684108
10.56701,28,1.722496
6.531985,11,1.737399
35.635994,37,1.787785
21.2112,13,1.805344
1024.18589,1000,3.159103
16.752306,22,3.188168
15.695041,14,3.206729
74.992705,69,3.297272
10.613182,13,3.314959
173.739384,130,4.028898
39.136691,34,4.074566
16.692331,29,4.113326
14.032572,28,4.15103
-1.84828,15,4.171242
56.695722,67,4.261823
54.727794,57,4.338781
-0.523718,56,4.413754
4.898786,11,4.428648
77.310377,123,4.597528
28.997379,27,4.634234
0.10537,25,4.668102
61.868453,108,4.813845
47.80082,40,4.868061
46.191318,57,4.944478
21.750017,24,4.977487
27.216003,36,5.026428
4.582958,22,5.055979
19.930307,25,5.090199
56.345452,43,5.150476
39.156109,72,5.248341
61.68481,57,5.325307
87.270704,75,5.425437
17.084833,23,5.455911
38.305232,37,5.506092
66.552272,36,5.554429
108.853137,84,5.66937
5.492324,19,5.696134
-2.949205,23,5.727856
51.354636,44,5.788412
4.189837,13,5.806101
10.131119,12,5.822261
116.082701,127,5.993911
44.918324,61,6.076025
37.043913,40,6.129785
25.723429,22,6.159729
9.432644,22,6.189157
915.940871,1000,8.543032
89.241206,68,8.635733
113.986781,80,8.744118
9.955824,18,8.768214
57.69513,64,8.854532
101.38036,112,9.006159
-2.38188,14,9.024918
11.866947,19,9.05069
61.666066,42,9.106997
50.953702,73,9.20671
19.156305,18,9.230805
49.627015,41,9.285915
35.054643,43,9.342523
35.07284,48,9.406287
43.063234,31,9.447025
11.146185,13,9.464313
47.549942,33,9.507945
18.916363,35,9.554429
981.349783,1000,11.362384
21.160853,41,11.4174
83.723957,165,11.642691
1045.888532,1000,13.007344
927.819205,1000,15.018804
86.960362,96,15.148699
10.62359,52,15.219879
71.587721,64,15.307163
981.647846,1000,16.676536
194.036799,175,16.911164
-1.473588,22,16.941641
19.373639,28,16.980784
1.133008,21,17.009033
8.859763,16,17.030654
22.204568,18,17.054895
16.216809,20,17.08166
41.225025,49,17.147423
127.774586,111,17.841949
75.757276,44,17.90201
95.138552,89,18.022406
45.696902,74,18.12189
30.630885,24,18.154484
991.434572,1000,19.507988
69.065629,44,19.569278
11.164931,32,19.612361
76.064587,100,19.747473
139.967852,114,19.905378
25.879291,20,19.93235
6.835123,37,19.982147
45.743502,44,20.041491
56.232872,102,20.179414
28.962589,20,20.205945
16.682829,20,20.232938
61.613601,57,20.309459
64.63936,53,20.380391
156.315035,155,21.019427
44.037749,48,21.084718
140.71219,100,21.217536
2.099141,70,21.311646
42.746262,45,21.373137
-5.251005,73,21.47299
12.36895,17,21.495925
24.477725,34,21.541932
51.213291,91,21.662217
102.054588,59,21.74195
53.093053,74,21.843535
67.358116,61,21.927273
34.489159,30,21.968766
44.502061,51,22.036883
133.232002,99,22.16936
62.102501,147,22.363404
12.43514,67,22.452024
44.806827,38,22.502304
51.669175,132,22.679779
928.538662,1000,24.425986
23.352194,100,24.559689
30.820403,74,24.659149
911.251636,1000,26.029587
2.358346,19,26.060091
95.011829,99,26.19545
98.629726,58,26.272595
29.487129,61,26.355699
14.337188,13,26.373227
945.822046,1000,28.10179
97.03039,118,28.259067
11.83427,22,28.28861
68.945063,82,28.398889
62.666557,75,28.499829
72.13649,56,28.575593
44.76756,35,28.623137
6.720428,15,28.643136
122.271073,73,28.74074
58.962812,51,28.810571
101.98512,89,28.93206
76.273828,68,29.022009
20.295294,20,29.049371
81.952657,91,29.171992
16.626546,39,29.223429
10.777682,16,29.244748
45.152976,55,29.317091
29.798126,26,29.351297
152.775879,183,29.594472
7.439173,16,29.615718
32.438552,37,29.665302
18.242796,31,29.707019
63.823623,57,29.782851
128.856138,130,29.95747
48.597053,38,30.394669
88.573867,76,30.498795
113.237412,130,30.67681
9.89793,25,30.712235
58.720578,82,30.823628
41.637966,33,30.867795
154.642782,96,30.995754
49.476061,48,31.060599
8.258537,25,31.094546
16.139755,46,31.155612
109.464735,158,31.367047
-7.167167,12,31.382832
9.829421,30,31.422653
60.855339,48,31.48585
38.489066,31,31.526206
119.03525,95,31.653621
10.286991,20,31.680212
112.532486,93,31.804576
114.899528,80,31.915783
28.681208,22,31.946528
8.861933,19,31.972616
9.259608,16,31.995056
85.47753,128,32.167474
58.629421,48,32.232368
35.209259,47,32.296209
44.503722,44,32.356552
155.583809,94,32.485505
13.607353,26,32.520687
40.739293,43,32.578402
25.685056,18,32.602595
106.87585,86,32.716488
29.085653,38,32.767133
9.62722,21,32.795147
214.099632,178,33.034691
49.597006,36,33.082636
22.605756,13,33.100623
92.255967,47,33.718108
28.537354,16,33.739573
74.428655,50,33.807649
36.507261,73,33.905861
103.468241,86,34.029153
29.173423,56,34.10452
43.089935,23,34.135609
12.847411,27,34.171261
128.651892,96,34.302954
68.93252,71,34.399
80.599243,63,34.483721
7.377804,34,34.529166
9.077147,16,34.551098
57.996661,41,34.606559
19.793794,37,34.656972
5.216729,41,34.712949
42.389965,80,34.822482
26.908342,34,34.870015
114.339348,106,35.012901
26.288097,20,35.039873
17.546007,20,35.066951
55.401038,101,35.202784
15.693153,20,35.229888
36.704687,25,35.263771
65.85788,81,35.373955
35.331512,30,35.415204
47.772176,27,35.452974
23.8641,30,35.49387
116.809312,55,35.567971
112.801206,119,35.726406
28.787336,30,35.767121
95.857583,81,35.876354
170.214939,125,36.049595
56.962492,45,36.111368
58.825596,38,36.162676
10.863184,19,36.188402
32.021385,64,36.275342
