#{"t_start": 1787789189.3266206, "env_id": "Ant-v5"}
r,l,t
48.078562,74,0.717898
24.334672,58,0.795381
20.238908,30,0.835295
45.13231,48,0.899556
10.968932,14,0.919558
44.060333,35,0.966956
63.576504,56,1.042608
-3.935268,62,1.126041
28.91714,61,1.20847
4.134154,28,1.246546
24.472295,20,1.273441
29.66685,22,1.303547
78.711529,64,1.391254
885.766715,1000,2.759865
64.719369,46,2.821751
167.490619,136,3.002089
88.976929,90,3.121739
78.940827,59,3.200445
28.355415,41,3.254481
17.810333,14,3.272815
14.18236,28,3.309906
7.573966,15,3.329918
49.77194,45,3.389469
16.060589,24,3.96002
53.975172,101,4.09758
21.106322,22,4.127381
64.274069,70,4.221449
131.049742,158,4.434418
31.186859,27,4.470685
21.235846,20,4.498252
24.858481,21,4.527714
24.08325,39,4.58149
13.6553,9,4.593805
115.814247,86,4.710321
24.906078,22,4.739453
12.9791,16,4.761144
9.373723,12,4.77761
23.220018,23,4.80878
861.953553,1000,6.165575
64.418805,45,6.225855
30.089492,24,6.257721
75.252372,62,6.340636
50.250477,59,6.419921
77.891131,72,6.51731
11.892183,10,6.531435
885.432169,1000,8.887529
0.752336,10,8.900952
3.102157,25,8.934724
20.142511,32,8.978202
218.65647,167,9.204585
67.989279,93,9.328292
16.191283,20,9.35475
29.121537,26,9.389165
35.62269,35,9.435587
38.341606,52,9.504253
101.593132,90,9.62362
81.425856,71,9.720248
16.730531,35,9.76905
5.325941,14,9.787702
58.730201,34,9.833533
8.429228,18,9.857747
54.77128,74,9.957363
2.244619,16,9.978892
24.739778,23,10.010147
41.02209,64,10.096013
90.638245,100,10.229307
73.722707,95,10.358294
27.927457,65,10.445502
44.888798,40,10.957342
30.607428,45,11.01941
89.697848,89,11.138882
-2.86206,29,11.178471
16.323859,19,11.203989
136.286346,94,11.331888
47.769387,38,11.382816
39.842809,36,11.431648
54.213735,33,11.475562
152.638636,124,11.645937
13.072818,18,11.670234
16.860411,14,11.689622
956.935835,1000,13.052827
153.067328,125,13.21903
63.735303,76,13.31964
16.367672,18,13.344291
80.954523,69,13.437641
42.830158,61,13.519
122.678707,172,14.415343
94.585966,78,14.521398
54.208635,54,14.595527
26.43042,30,14.63585
3.109039,30,14.676451
8.686174,14,14.695269
26.637491,27,14.731831
42.256254,81,14.84227
171.925839,109,14.989028
21.157068,16,15.011017
60.852336,64,15.097508
996.292433,1000,16.467738
50.691625,29,16.507063
