policy_training_condition,policy_training_seed,evaluation_seed,damage_leg,damage_alpha,episode_return,episode_length,terminated_before_time_limit,forward_distance,lateral_distance,horizontal_distance,mean_forward_speed,mean_horizontal_speed,mean_abs_raw_command_actuator_0,mean_abs_raw_command_actuator_1,mean_abs_raw_command_actuator_2,mean_abs_raw_command_actuator_3,mean_abs_raw_command_actuator_4,mean_abs_raw_command_actuator_5,mean_abs_raw_command_actuator_6,mean_abs_raw_command_actuator_7,mean_abs_applied_command_actuator_0,mean_abs_applied_command_actuator_1,mean_abs_applied_command_actuator_2,mean_abs_applied_command_actuator_3,mean_abs_applied_command_actuator_4,mean_abs_applied_command_actuator_5,mean_abs_applied_command_actuator_6,mean_abs_applied_command_actuator_7
robust,6,400,healthy,1.0,2970.3873030224345,1000,False,12.46562275676178,1.703187030620411,12.581438581305825,0.2493124551352356,0.2516287716261165,0.1454726053662598,0.248975520350039,0.2650366805680096,0.2223775561004877,0.1775234950222075,0.15161546058952807,0.2098108715247363,0.17793883657455445,0.1454726053662598,0.248975520350039,0.2650366805680096,0.2223775561004877,0.1775234950222075,0.15161546058952807,0.2098108715247363,0.17793883657455445
robust,6,401,healthy,1.0,4085.3871520799753,1000,False,91.5885658883653,-5.045844662579718,91.72745472238023,1.8317713177673058,1.8345490944476046,0.22807773776724935,0.3947463741684332,0.39360756502486766,0.3762131212726235,0.25565222213789823,0.3746016496904194,0.453428275803104,0.4519817965514958,0.22807773776724935,0.3947463741684332,0.39360756502486766,0.3762131212726235,0.25565222213789823,0.3746016496904194,0.453428275803104,0.4519817965514958
robust,6,402,healthy,1.0,3880.8794970378462,1000,False,78.22273448331393,14.255951945945048,79.51118384184784,1.5644546896662785,1.5902236768369569,0.2519393189810216,0.3732181437890977,0.37743314255215227,0.34834327681735155,0.24500330739840864,0.34387090492993594,0.41662059506587684,0.3915425624251366,0.2519393189810216,0.3732181437890977,0.37743314255215227,0.34834327681735155,0.24500330739840864,0.34387090492993594,0.41662059506587684,0.3915425624251366
robust,6,403,healthy,1.0,3741.5367255646356,1000,False,63.36893161352091,2.5723264629210334,63.42111917390715,1.2673786322704181,1.268422383478143,0.1875029003676027,0.3537323665227741,0.3075201642457396,0.32256312884017824,0.1876036917567253,0.29311655835434797,0.3372666871082038,0.3235862167607993,0.1875029003676027,0.3537323665227741,0.3075201642457396,0.32256312884017824,0.1876036917567253,0.29311655835434797,0.3372666871082038,0.3235862167607993
robust,6,404,healthy,1.0,3538.020161922774,1000,False,50.784073803903176,0.9308584404800065,50.792604280116386,1.0156814760780635,1.0158520856023276,0.1735823784843087,0.31499655721057207,0.2828406671909615,0.31005737983062864,0.19375437349826097,0.2496454808935523,0.32015950230322776,0.31147288597375156,0.1735823784843087,0.31499655721057207,0.2828406671909615,0.31005737983062864,0.19375437349826097,0.2496454808935523,0.32015950230322776,0.31147288597375156
robust,6,405,healthy,1.0,3600.0723985307473,1000,False,54.90777935421464,3.8132125939020423,55.040029286850974,1.0981555870842927,1.1008005857370196,0.16954470790177584,0.3506982918642461,0.277721892750822,0.3124454907104373,0.1806212048046291,0.283396452691406,0.31754375171475113,0.32065443393215537,0.16954470790177584,0.3506982918642461,0.277721892750822,0.3124454907104373,0.1806212048046291,0.283396452691406,0.31754375171475113,0.32065443393215537
robust,6,406,healthy,1.0,4145.009611248721,1000,False,94.48138507340252,20.8178778946796,96.74769333387933,1.8896277014680505,1.9349538666775865,0.26837821154110136,0.3877267063427717,0.4175501131173223,0.36187028989940884,0.22934318498522044,0.369562476772815,0.4528553825058043,0.42508122563920914,0.26837821154110136,0.3877267063427717,0.4175501131173223,0.36187028989940884,0.22934318498522044,0.369562476772815,0.4528553825058043,0.42508122563920914
robust,6,407,healthy,1.0,294.5938817318288,73,True,6.766181976308219,-1.3125313662003952,6.892311449998329,1.8537484866597858,1.888304506848857,0.22420588329638522,0.4204499234305057,0.3735555982191677,0.3896033290314348,0.2574087714087473,0.37030825008676477,0.4619977635471788,0.45642920430392436,0.22420588329638522,0.4204499234305057,0.3735555982191677,0.3896033290314348,0.2574087714087473,0.37030825008676477,0.4619977635471788,0.45642920430392436
robust,6,408,healthy,1.0,3283.5859104259557,811,True,73.35529153456133,6.576143222907949,73.64947016651703,1.8090084225539167,1.8162631360423434,0.2421668252176186,0.39272188295354166,0.4030926591394017,0.37168943636238794,0.2611581923580199,0.38927175499195676,0.45032953028366174,0.44111499843060165,0.2421668252176186,0.39272188295354166,0.4030926591394017,0.37168943636238794,0.2611581923580199,0.38927175499195676,0.45032953028366174,0.44111499843060165
robust,6,409,healthy,1.0,4078.8138528193685,1000,False,91.67183573174127,2.4613499355529553,91.70487287997624,1.8334367146348254,1.8340974575995248,0.2536329596079886,0.3975098548736423,0.41165885220840576,0.3673644229993224,0.23975800343975426,0.37041783646121623,0.448570763964206,0.4530332837961614,0.2536329596079886,0.3975098548736423,0.41165885220840576,0.3673644229993224,0.23975800343975426,0.37041783646121623,0.448570763964206,0.4530332837961614
robust,6,400,front_left,0.5,3826.447957937351,1000,False,71.36339002485776,22.32295508798217,74.7733091396926,1.4272678004971553,1.495466182793852,0.26900967127270997,0.37939370424300434,0.44984167923778295,0.36650132717937234,0.24973285295814276,0.38683907463401557,0.4478649328164756,0.4111136412639171,0.26900967127270997,0.37939370424300434,0.22492083961889148,0.18325066358968617,0.24973285295814276,0.38683907463401557,0.4478649328164756,0.4111136412639171
