policy_training_condition,remaining_strength,severity,episode_return_mean,episode_return_std,forward_distance_mean,forward_distance_std,horizontal_distance_mean,horizontal_distance_std,mean_forward_speed_mean,mean_forward_speed_std,mean_horizontal_speed_mean,mean_horizontal_speed_std,episode_length_mean,episode_length_std,early_termination_rate_mean,early_termination_rate_std,training_seed_count
nominal,0.0,Complete failure,2812.2207513818034,21.041814888911386,7.203808809749982,3.469714218402548,8.071174706504777,3.2593335172278093,0.14407617619499963,0.06939428436805098,0.16142349413009552,0.0651866703445562,1000.0,0.0,0.0,0.0,3
nominal,0.5,Moderate damage,3134.2540068159465,100.88846617524247,23.959969578454366,6.3001398972005624,24.55073872457328,6.41720044013922,0.4791993915690873,0.1260027979440112,0.4910147744914655,0.12834400880278446,1000.0,0.0,0.0,0.0,3
nominal,1.0,Healthy,3360.2898373906787,224.33996462259122,34.93223952314386,15.606917192218342,35.17160211293794,15.686949339603252,0.6986447904628772,0.31213834384436684,0.7034320422587589,0.3137389867920651,1000.0,0.0,0.0,0.0,3
robust,0.0,Complete failure,2815.5743462986625,195.09757033596404,9.4400599328912,4.597447687541876,10.05503348122299,5.0847440810732625,0.18880119865782397,0.09194895375083752,0.20110066962445974,0.10169488162146526,1000.0,0.0,0.0,0.0,3
robust,0.5,Moderate damage,3258.1669709942,378.10201989381517,29.52924485537805,28.520880091723804,30.42498660135638,29.324181262780126,0.5905848971075609,0.570417601834476,0.6084997320271276,0.5864836252556025,1000.0,0.0,0.0,0.0,3
robust,1.0,Healthy,3282.5327716524857,367.3199073257573,34.98044286770352,32.40215566226277,35.3960794424204,32.87243600668767,0.7158672069901835,0.6749480586408432,0.7242881546454379,0.6845263007521262,986.9,18.529166198186015,0.06666666666666667,0.05773502691896258,3
