policy_training_condition,policy_training_seed,damage_alpha,damage_leg,episode_return,forward_distance,horizontal_distance,mean_forward_speed,mean_horizontal_speed,episode_length,early_termination_rate,episodes_averaged
nominal,5,0.0,back_left,2928.803036607338,11.752114547306997,13.212625607968732,0.2350422909461399,0.2642525121593746,1000.0,0.0,10
nominal,5,0.0,back_right,2508.876972130707,1.8932676304775793,2.0083251897268823,0.037865352609551525,0.04016650379453758,1000.0,0.0,10
nominal,5,0.0,front_left,3169.491924988519,22.87127253778184,24.636287486732755,0.45742545075563684,0.49272574973465505,1000.0,0.0,10
nominal,5,0.0,front_right,2550.7066454757123,0.07122279793760397,0.18973426478585326,0.0014244559587520702,0.00379468529571702,1000.0,0.0,10
nominal,5,0.5,back_left,3256.724773269517,29.25240441992263,30.3683590333931,0.5850480883984526,0.607367180667862,1000.0,0.0,10
nominal,5,0.5,back_right,3304.4180291822763,32.839941960020454,34.351754521477716,0.656798839200409,0.6870350904295542,1000.0,0.0,10
nominal,5,0.5,front_left,3387.795279064182,37.91733634770006,38.62253389733661,0.7583467269540011,0.7724506779467322,1000.0,0.0,10
nominal,5,0.5,front_right,3010.41298745315,18.790970351008788,18.8117605478261,0.3758194070201757,0.376235210956522,1000.0,0.0,10
nominal,6,0.0,back_left,3286.445220327081,24.39146273079455,25.891674695389305,0.487829254615891,0.5178334939077861,1000.0,0.0,10
nominal,6,0.0,back_right,2979.983659376575,10.685599858891454,11.134420388516514,0.21371199717782902,0.22268840777033025,1000.0,0.0,10
nominal,6,0.0,front_left,2553.1851590805104,1.6135412124396775,1.7956342152019449,0.03227082424879351,0.035912684304038864,1000.0,0.0,10
nominal,6,0.0,front_right,2504.313917982061,0.3755337124378741,0.7524373762969754,0.00751067424875744,0.01504874752593947,1000.0,0.0,10
nominal,6,0.5,back_left,3026.255960814576,24.307965593701574,24.38999142294619,0.48615931187403155,0.48779982845892383,1000.0,0.0,10
nominal,6,0.5,back_right,3499.5077259324657,40.71628146661547,41.08354819063639,0.8143256293323095,0.8216709638127279,1000.0,0.0,10
nominal,6,0.5,front_left,2897.7512854976508,22.726471196179794,22.738973993663944,0.4545294239235959,0.4547794798732788,1000.0,0.0,10
nominal,6,0.5,front_right,2731.803313601564,12.090062034568444,13.135339878017561,0.24180124069136882,0.26270679756035115,1000.0,0.0,10
nominal,7,0.0,back_left,2598.9631405434943,1.0911124651346678,1.1982332977569334,0.02182224930269331,0.02396466595513862,1000.0,0.0,10
nominal,7,0.0,back_right,2959.915500446149,8.459964677283008,9.322905884343589,0.1691992935456601,0.18645811768687176,1000.0,0.0,10
nominal,7,0.0,front_left,2870.5819535983787,2.7825866233309844,5.125902590752565,0.05565173246661966,0.10251805181505128,1000.0,0.0,10
nominal,7,0.0,front_right,2835.381886025117,0.4580269231835553,1.585915480585282,0.00916053846367108,0.031718309611705596,1000.0,0.0,10
nominal,7,0.5,back_left,3154.492743410094,17.169772368960068,17.66690980341935,0.3433954473792013,0.35333819606838696,1000.0,0.0,10
nominal,7,0.5,back_right,3153.3738607485807,17.979433269883096,18.329002062606143,0.3595886653976619,0.3665800412521228,1000.0,0.0,10
nominal,7,0.5,front_left,3105.9477926877366,16.77727722637844,17.532623754247304,0.33554554452756885,0.35065247508494607,1000.0,0.0,10
nominal,7,0.5,front_right,3082.5643301295613,16.951718706513574,17.578067589308905,0.33903437413027143,0.3515613517861781,1000.0,0.0,10
robust,5,0.0,back_left,2770.2542031882176,4.996505245243805,5.043386338610797,0.09993010490487605,0.1008677267722159,1000.0,0.0,10
robust,5,0.0,back_right,2791.796662763914,4.518980062653154,4.838078147640067,0.09037960125306302,0.09676156295280132,1000.0,0.0,10
robust,5,0.0,front_left,3005.0361392227546,8.493658380330197,8.618494037855026,0.16987316760660393,0.1723698807571005,1000.0,0.0,10
robust,5,0.0,front_right,2804.919896058236,0.9879238016239305,1.3700661257331304,0.01975847603247856,0.02740132251466256,1000.0,0.0,10
robust,5,0.5,back_left,3086.6508130357524,16.512982273011275,16.7493119803131,0.33025964546022546,0.33498623960626195,1000.0,0.0,10
robust,5,0.5,back_right,3028.4371321740946,14.548942992814148,14.810576734931505,0.2909788598562829,0.2962115346986301,1000.0,0.0,10
robust,5,0.5,front_left,3011.145434782856,11.15182491523365,12.499270606522513,0.223036498304673,0.24998541213045025,1000.0,0.0,10
robust,5,0.5,front_right,2973.091729245619,11.177944761506264,12.17520299387724,0.2235588952301253,0.24350405987754478,1000.0,0.0,10
robust,6,0.0,back_left,2307.2567667673875,0.5950420641706459,0.8855579458947535,0.01190084128341285,0.01771115891789502,1000.0,0.0,10
robust,6,0.0,back_right,1992.9621552249287,2.5210201292570207,2.605204395248605,0.05042040258514037,0.05210408790497206,1000.0,0.0,10
robust,6,0.0,front_left,2737.5174086318934,8.760821815440714,11.500702933977971,0.17521643630881423,0.23001405867955937,1000.0,0.0,10
robust,6,0.0,front_right,3395.121338148383,43.87551263797708,45.55649371167913,0.8775102527595416,0.9111298742335826,1000.0,0.0,10
robust,6,0.5,back_left,3476.256389494077,51.774464295243924,54.10955251296415,1.0354892859048783,1.082191050259283,1000.0,0.0,10
robust,6,0.5,back_right,3721.3307196456226,64.67904416357712,65.31536323376164,1.293580883271542,1.306307264675233,1000.0,0.0,10
robust,6,0.5,front_left,3674.620474280782,61.00467107826084,62.88624942825139,1.2200934215652168,1.257724988565028,1000.0,0.0,10
robust,6,0.5,front_right,3905.4241614217963,72.38455289014003,74.80659984959661,1.4476910578028006,1.4961319969919322,1000.0,0.0,10
robust,7,0.0,back_left,3198.138414261266,19.059443588762406,20.4365817975639,0.3811888717752481,0.408731635951278,1000.0,0.0,10
robust,7,0.0,back_right,2890.484791902851,5.350666289828348,5.451557103353229,0.10701332579656693,0.10903114206706455,1000.0,0.0,10
robust,7,0.0,front_left,2913.2998509939416,5.0616673142146364,5.170588729249313,0.1012333462842927,0.10341177458498622,1000.0,0.0,10
robust,7,0.0,front_right,2980.104528420171,9.059477865192452,9.183690507869938,0.18118955730384897,0.18367381015739875,1000.0,0.0,10
robust,7,0.5,back_left,2997.7457491575988,11.06442811130599,11.230077162187518,0.22128856222611973,0.22460154324375034,1000.0,0.0,10
robust,7,0.5,back_right,3116.3130024694606,15.06666207004962,15.213557648506967,0.3013332414009924,0.3042711529701393,1000.0,0.0,10
robust,7,0.5,front_left,3079.5013853579017,12.674773457957244,12.941264496643374,0.2534954691591448,0.25882528993286746,1000.0,0.0,10
robust,7,0.5,front_right,3027.486660864834,12.310647255436475,12.362812568720567,0.24621294510872951,0.2472562513744113,1000.0,0.0,10
