policy_training_condition,policy_training_seed,tag,environment_steps,value
nominal,5,rollout/ep_rew_mean,761856,473.7330627441406
nominal,5,rollout/ep_rew_mean,770048,526.668701171875
nominal,5,rollout/ep_rew_mean,778240,470.97113037109375
nominal,5,rollout/ep_rew_mean,786432,467.7572021484375
nominal,5,rollout/ep_rew_mean,794624,473.12054443359375
nominal,5,rollout/ep_rew_mean,802816,446.3258361816406
nominal,5,rollout/ep_rew_mean,811008,450.79119873046875
nominal,5,rollout/ep_rew_mean,819200,344.1888427734375
nominal,5,rollout/ep_rew_mean,827392,376.96746826171875
nominal,5,rollout/ep_rew_mean,835584,406.0686340332031
nominal,5,rollout/ep_rew_mean,843776,371.8536376953125
nominal,5,rollout/ep_rew_mean,851968,345.0499267578125
nominal,5,rollout/ep_rew_mean,860160,313.7197265625
nominal,5,rollout/ep_rew_mean,868352,316.7342224121094
nominal,5,rollout/ep_rew_mean,876544,331.07049560546875
nominal,5,rollout/ep_rew_mean,884736,332.78985595703125
nominal,5,rollout/ep_rew_mean,892928,403.5664367675781
nominal,5,rollout/ep_rew_mean,901120,454.6691589355469
nominal,5,rollout/ep_rew_mean,909312,445.017333984375
nominal,5,rollout/ep_rew_mean,917504,462.7290344238281
nominal,5,rollout/ep_rew_mean,925696,424.6298522949219
nominal,5,rollout/ep_rew_mean,933888,414.1993408203125
nominal,5,rollout/ep_rew_mean,942080,436.2683410644531
nominal,5,rollout/ep_rew_mean,950272,476.437255859375
nominal,5,rollout/ep_rew_mean,958464,497.2013854980469
nominal,5,rollout/ep_rew_mean,966656,511.89208984375
nominal,5,rollout/ep_rew_mean,974848,480.9931335449219
nominal,5,rollout/ep_rew_mean,983040,498.6400146484375
nominal,5,rollout/ep_rew_mean,991232,411.7134094238281
nominal,5,rollout/ep_rew_mean,999424,468.451904296875
nominal,5,rollout/ep_rew_mean,1007616,498.3740234375
nominal,5,rollout/ep_rew_mean,1015808,496.8418273925781
nominal,5,rollout/ep_rew_mean,1024000,523.1807250976562
nominal,5,rollout/ep_rew_mean,1032192,546.8566284179688
nominal,5,rollout/ep_rew_mean,1040384,544.2201538085938
nominal,5,rollout/ep_rew_mean,1048576,519.6749267578125
nominal,5,rollout/ep_rew_mean,1056768,544.2051391601562
nominal,5,rollout/ep_rew_mean,1064960,528.5774536132812
nominal,5,rollout/ep_rew_mean,1073152,524.1879272460938
nominal,5,rollout/ep_rew_mean,1081344,487.9158935546875
nominal,5,rollout/ep_rew_mean,1089536,477.2126159667969
nominal,5,rollout/ep_rew_mean,1097728,496.1519470214844
nominal,5,rollout/ep_rew_mean,1105920,510.2042541503906
nominal,5,rollout/ep_rew_mean,1114112,526.6810302734375
nominal,5,rollout/ep_rew_mean,1122304,548.7222900390625
nominal,5,rollout/ep_rew_mean,1130496,605.4597778320312
nominal,5,rollout/ep_rew_mean,1138688,613.9628295898438
nominal,5,rollout/ep_rew_mean,1146880,648.2363891601562
nominal,5,rollout/ep_rew_mean,1155072,627.4273681640625
nominal,5,rollout/ep_rew_mean,1163264,593.034423828125
nominal,5,rollout/ep_rew_mean,1171456,605.016845703125
nominal,5,rollout/ep_rew_mean,1179648,582.7076416015625
nominal,5,rollout/ep_rew_mean,1187840,570.1047973632812
nominal,5,rollout/ep_rew_mean,1196032,623.468505859375
nominal,5,rollout/ep_rew_mean,1204224,660.8440551757812
nominal,5,rollout/ep_rew_mean,1212416,704.3375854492188
nominal,5,rollout/ep_rew_mean,1220608,702.7225952148438
nominal,5,rollout/ep_rew_mean,1228800,744.7579956054688
nominal,5,rollout/ep_rew_mean,1236992,717.3505859375
nominal,5,rollout/ep_rew_mean,1245184,731.646728515625
nominal,5,rollout/ep_rew_mean,1253376,710.9066162109375
nominal,5,rollout/ep_rew_mean,1261568,674.9622802734375
nominal,5,rollout/ep_rew_mean,1269760,642.621337890625
nominal,5,rollout/ep_rew_mean,1277952,600.0502319335938
