#{"t_start": 1787796804.1157491, "env_id": "Ant-v5"}
r,l,t
110.676443,90,0.745005
33.576704,34,0.790758
62.375574,43,0.849511
44.630862,30,0.890174
21.595675,15,0.91027
67.508858,70,1.007886
71.120076,46,1.071913
54.356928,39,1.126031
7.368217,36,1.175164
164.987089,108,1.324057
15.486961,15,1.344521
22.880924,37,1.394984
11.062384,30,1.43624
82.311617,65,1.525231
87.056061,79,1.637732
89.552294,49,1.707244
32.757698,31,1.750882
102.352095,125,1.925763
64.877721,97,2.062965
28.129835,47,2.128633
71.438024,84,2.246626
43.151268,34,2.293051
31.950014,44,2.354904
90.505957,65,2.447043
22.559352,34,2.493438
44.835785,33,2.538463
78.134529,66,2.627126
75.031456,69,2.720324
71.798314,55,2.796751
116.224447,68,2.888818
103.205335,97,3.018514
111.661552,89,3.138434
1422.938176,1000,5.739777
165.524165,179,5.994761
74.925834,62,6.083996
169.129284,296,6.501672
74.541408,62,6.587371
967.47183,1000,8.860557
28.230806,20,8.888593
89.394046,73,8.991352
284.162588,231,9.316336
37.367618,38,9.369617
14.722977,19,9.396054
28.031741,38,9.448468
48.180105,47,9.512883
1381.916923,1000,10.911502
58.592947,32,10.956683
76.177204,52,11.027393
173.364531,100,11.164939
131.443677,97,11.680175
51.626078,40,11.737085
1245.096033,1000,13.148098
98.308851,106,13.292599
34.913517,35,13.352615
35.433667,21,13.382819
4.21984,13,13.401005
440.188566,221,13.728496
202.402927,220,14.043479
23.626984,29,14.099747
1370.5895,1000,16.070351
53.701906,71,16.173584
177.169029,99,16.312035
97.483471,79,16.422009
123.921198,90,16.552847
28.091857,18,16.578737
103.445816,58,16.658404
44.501061,62,16.746207
157.437896,120,16.913245
1003.853849,1000,18.890168
9.374848,16,18.912045
22.333261,13,18.930319
291.235518,241,19.262533
52.492451,41,19.318012
10.663467,22,19.347667
28.837535,22,19.377648
31.895725,17,19.400661
14.62282,17,19.423828
0.848356,22,19.453552
-8.326871,29,19.492654
58.765548,94,19.62195
78.910686,42,19.678973
1421.960466,1000,21.079938
1366.294318,1000,22.833013
100.869984,222,23.140475
204.299151,177,23.387464
106.835268,91,23.514081
53.472433,59,23.595247
218.476071,174,23.838322
137.649181,122,24.007419
151.341743,111,24.158644
117.740109,91,24.283961
950.082407,1000,26.133473
134.043476,154,26.343348
95.974577,84,26.456961
56.001874,31,26.500458
191.043911,142,26.69905
43.40705,57,26.77651
20.741936,17,26.799677
54.297415,39,26.853001
41.307314,21,26.882046
39.518529,26,26.917973
228.471141,158,27.136468
94.909314,96,27.267713
1386.296226,1000,29.205674
35.86348,70,29.301117
12.432815,32,29.347054
84.556362,86,29.462557
174.546056,173,29.698392
3.553665,9,29.710554
135.663161,109,29.858813
31.095271,22,29.888622
6.122394,20,29.915673
74.50028,36,29.965152
261.035428,214,30.260141
148.948439,156,30.473762
14.778252,19,30.499773
40.160801,23,30.531282
88.032515,61,30.615066
1400.057076,1000,32.478049
56.740806,55,32.555413
38.052466,33,32.600085
46.777674,56,32.679224
91.216637,110,32.833344
319.134233,285,33.232212
32.716443,25,33.267114
72.202613,100,33.405452
258.927292,180,33.657858
91.556008,122,33.830637
45.588049,44,33.891543
24.934588,25,33.925549
1.209671,11,33.940741
137.484666,86,34.058775
82.719047,47,34.122228
27.236746,32,34.166846
69.810458,47,34.230227
127.604,108,34.379552
39.905688,37,34.430228
62.764481,43,34.488531
11.16568,14,34.507554
87.976338,71,34.604983
153.693857,138,35.151806
28.642392,36,35.201602
94.559109,97,35.33414
32.588456,31,35.379097
92.832621,60,35.461476
138.616407,83,35.580095
24.739399,31,35.624969
8.001737,18,35.651541
64.595477,79,35.766098
1416.128892,1000,37.176159
103.036584,65,37.2662
7.757654,13,37.284361
14.712891,25,37.319432
46.023171,53,37.392751
16.215074,39,37.446809
8.467199,11,37.461977
40.568893,33,37.50705
180.198489,76,37.614383
199.949567,147,37.822461
49.241551,33,38.367751
36.418646,82,38.488597
5.358446,14,38.50898
907.860069,1000,39.924405
83.530186,42,39.982829
1114.105719,1000,41.758319
5.838022,13,41.776552
118.702425,118,41.93786
24.798631,41,41.994425
82.768681,109,42.147157
6.218293,77,42.265898
78.743852,92,42.391733
48.425181,26,42.428114
140.521769,116,42.587997
122.599761,167,42.825988
17.942928,21,42.854636
88.572697,109,43.003401
73.134974,39,43.056876
8.770787,34,43.104456
927.55936,1000,44.900016
80.50051,63,44.991791
81.278115,40,45.052342
80.351953,62,45.142678
107.645067,51,45.214257
967.073703,1000,46.612572
37.111753,51,46.684202
71.016541,40,46.738857
147.401733,115,46.90488
75.951453,63,46.995283
24.307266,35,47.044031
83.59352,53,47.117795
59.901993,47,47.182205
55.804741,48,47.249097
13.949458,24,47.282456
35.25343,51,47.353117
24.225285,18,47.377956
102.656824,65,47.468904
1448.814881,1000,49.300824
59.542367,37,49.352757
131.797515,94,49.481639
56.939268,50,49.551791
35.936761,29,49.591482
45.078001,36,49.640725
36.539149,21,49.669114
100.537736,62,49.754992
85.381364,95,49.886917
86.316066,67,49.980195
14.51556,13,49.998232
1233.028601,1000,51.797404
6.031566,14,51.816865
56.059757,39,51.870679
59.746272,55,51.947577
1372.471045,1000,53.351177
1352.288955,1000,55.160026
9.778066,14,55.180161
8.363469,14,55.200386
1089.191104,1000,56.604657
285.935615,219,56.912611
45.444278,27,56.950415
65.240741,43,57.011308
6.271456,22,57.042093
47.220407,37,57.093782
82.780477,85,57.212231
0.164467,17,57.235402
35.862403,35,57.283112
139.887848,85,57.399249
92.04262,84,57.514109
64.937696,69,57.990936
18.058627,23,58.024894
35.024564,40,58.080573
181.020377,106,58.227298
195.641201,107,58.376614
23.443998,26,58.41199
1006.829149,1000,59.798759
30.840965,65,59.887816
91.991643,50,59.956174
62.553935,58,60.035329
116.982925,99,60.174655
263.30205,177,60.416336
89.331467,72,60.513941
24.062099,19,60.540113
27.260212,40,60.594959
1432.718618,1000,62.382237
74.775641,57,62.461702
93.429391,67,62.554932
95.230158,72,62.655705
101.563022,56,62.732789
384.587415,281,63.122144
66.38455,61,63.20612
11.52075,28,63.244859
975.155454,1000,64.93297
60.180451,53,65.01124
73.805753,62,65.09826
105.587617,72,65.199692
1217.277002,1000,66.6093
16.034041,20,66.636682
44.154836,54,66.710199
51.219184,61,66.793175
45.092659,84,66.908391
53.865453,44,66.969139
144.97836,95,67.101914
77.019186,92,67.229481
265.095436,222,67.747524
147.417433,99,67.88579
122.039238,72,67.986539
10.465864,29,68.027686
86.288877,73,68.129551
1043.739847,1000,69.553957
35.752289,42,69.61234
17.239431,24,69.645461
71.85983,48,69.711584
41.735371,30,69.753084
125.934943,94,69.883439
19.94075,18,69.908511
89.818594,64,69.998789
152.604858,108,70.151971
10.167887,24,70.185838
78.05938,53,70.259772
-12.311158,35,70.308764
30.295005,55,70.709746
1085.126379,1000,72.118307
27.465964,53,72.194378
1000.832105,1000,73.80406
39.760532,83,73.91913
28.88023,37,73.970421
44.138697,19,73.996843
74.210726,66,74.088112
51.44198,33,74.134704
1006.813697,1000,75.545224
1480.037596,1000,77.242253
137.551642,96,77.37888
26.933735,34,77.426235
8.941002,15,77.447444
1225.248866,1000,78.852222
252.011792,159,79.080547
131.286021,118,79.248231
201.275766,111,79.404078
21.494239,16,79.426203
98.064585,65,79.516488
36.73495,27,79.554241
61.785267,35,79.602432
1348.08884,1000,81.289877
57.348663,68,81.383722
264.839001,146,81.587209
254.746026,182,81.83874
21.069057,20,81.866003
138.537786,85,81.984778
37.716533,40,82.041321
91.712627,75,82.147037
70.743486,63,82.235838
41.286523,48,82.303003
148.417967,114,82.462229
55.147776,27,82.499847
199.438277,147,82.707406
36.654844,27,82.745307
194.160175,164,83.297225
228.061115,164,83.522628
98.3726,68,83.617205
75.140385,64,83.705646
127.631352,96,83.837816
200.353871,157,84.05694
11.590194,17,84.080192
962.250939,1000,85.490805
124.868928,134,85.679804
1174.192003,1000,87.340338
31.980707,32,87.384782
15.929048,23,87.416746
61.43411,37,87.469671
882.585976,630,88.35288
17.913691,17,88.37657
178.848283,142,88.575223
71.941207,76,88.68095
30.532686,70,88.776536
427.984411,392,89.606448
115.999992,145,89.807431
225.163206,178,90.055375
37.313493,26,90.091236
165.672349,128,90.269091
75.867198,54,90.345001
98.493844,75,90.449196
1488.029381,1000,91.847647
88.727099,87,91.968529
1085.661411,1000,93.621942
87.505187,67,93.714136
5.265128,15,93.734726
132.57766,64,93.822645
233.77107,191,94.087526
336.1655,214,94.385524
78.11076,52,94.45825
66.932825,66,94.550255
91.798191,64,94.639194
414.808895,435,95.24579
16.966498,13,95.26453
58.698558,96,95.400555
209.339737,138,95.828968
167.495071,127,96.006909
17.076459,25,96.040646
24.923932,38,96.092623
145.232982,137,96.280521
51.19155,32,96.324751
138.838898,104,96.467546
108.611503,66,96.560033
1356.415773,1000,97.968897
104.903417,71,98.06767
39.112774,35,98.11643
55.653169,28,98.155638
297.90635,200,98.436488
63.090675,48,98.503962
290.676726,216,99.080253
18.939873,22,99.111156
80.689534,88,99.232417
228.02913,122,99.404897
55.073155,50,99.474039
121.668859,88,99.596536
76.995474,97,99.728751
111.771923,102,99.869618
20.902764,40,99.925061
68.149869,55,100.001503
87.217438,61,100.08841
122.455262,73,100.1927
1239.616891,1000,101.589638
14.669261,12,101.606197
19.063357,23,101.63711
174.119139,115,102.160349
46.21731,66,102.252895
1214.182631,1000,103.663761
28.86043,61,103.746413
464.432742,260,104.102332
7.40442,22,104.132578
57.512212,35,104.181833
21.430167,21,104.211418
379.000437,264,104.574486
50.148128,46,104.638935
207.97685,156,104.857231
17.268069,21,104.886692
108.190698,71,105.26321
48.455161,56,105.34398
19.913306,29,105.386303
1372.057304,1000,106.798939
89.993466,116,106.960079
107.147903,82,107.071303
123.405164,116,107.234477
1091.863153,1000,108.870478
103.40665,67,108.961477
105.690174,102,109.101751
294.306925,276,109.486176
1163.550507,1000,110.905306
101.564012,83,111.020241
37.961247,22,111.050377
3.495527,18,111.0757
12.121082,14,111.095221
217.270599,185,111.553942
47.092278,44,111.61605
57.980443,46,111.679557
189.589746,168,111.915423
68.757498,58,112.002476
70.174646,54,112.078306
237.713043,209,112.370592
399.362305,280,112.764668
1512.480495,1000,114.159515
85.966509,52,114.230603
24.57976,18,114.255626
74.823783,68,114.645857
33.292194,80,114.760325
