#{"t_start": 1787796804.1237538, "env_id": "Ant-v5"}
r,l,t
265.412524,170,0.84626
11.866864,15,0.866446
40.294975,50,0.933841
73.887431,53,1.009307
120.702826,73,1.11042
108.791908,70,1.207203
43.25624,52,1.278562
34.799326,35,1.326286
237.818404,166,1.555055
59.246626,50,1.626053
14.590606,13,1.644504
93.472746,94,1.777109
4.15929,14,1.79663
1372.830842,1000,3.172793
1192.05739,1000,5.778204
1298.906901,1000,7.191104
67.307926,63,7.278394
28.687299,29,7.318661
45.597457,30,7.3601
79.89702,84,7.475498
33.800855,51,8.404886
12.268921,27,8.445251
97.644675,77,8.556763
57.38771,43,8.619735
94.592515,95,8.753112
-1.93221,19,8.781828
15.657421,15,8.803585
75.502656,39,8.859007
18.560218,24,8.892402
37.018922,24,8.925508
41.414511,32,8.971139
175.024582,76,9.079936
37.349263,50,9.150099
57.594224,95,9.281137
3.10932,27,9.320489
26.608504,39,9.374779
50.932327,39,9.428797
86.765087,93,9.557725
1017.122932,1000,10.956467
1459.087831,1000,12.742218
222.555436,193,13.01167
37.161282,54,13.087548
12.120849,26,13.125333
16.064671,31,13.168009
34.861945,29,13.207423
80.247117,73,13.316382
81.767662,90,13.456172
307.941462,179,13.713662
21.801991,25,13.748549
92.940906,74,13.849792
27.021405,41,13.907041
20.264445,16,13.935586
99.987735,118,14.122485
128.3234,113,14.281746
58.952491,33,14.329183
79.927374,93,14.458918
141.518401,79,15.130472
1278.467166,1000,16.543783
53.854395,51,16.61525
324.386811,222,16.925578
43.137238,31,16.968817
14.949378,23,17.00057
3.181489,61,17.083711
10.413102,30,17.124644
12.358351,19,17.150216
40.323288,27,17.186932
32.870294,21,17.215492
87.684425,50,17.283669
155.796495,108,17.43133
79.200268,50,17.500086
59.043223,113,17.653448
108.613488,78,17.760279
98.788604,64,17.848551
3.162957,23,17.879532
66.848829,40,17.936696
59.644371,80,18.648525
638.241404,448,19.268814
23.583957,46,19.330868
30.707296,16,19.352539
75.535029,78,19.458346
81.23251,44,19.518157
177.097157,192,19.784642
866.82289,1000,21.182266
42.728683,46,21.246
16.905436,18,21.2707
87.303467,53,21.342839
325.220183,200,21.972492
13.425607,10,21.98656
23.156732,25,22.021537
113.895152,98,22.16239
53.862201,47,22.229704
62.092435,80,22.343739
99.454773,49,22.414014
41.145972,41,22.469691
55.4241,38,22.522248
20.598786,21,22.55331
45.27203,45,22.618552
9.769296,12,22.635431
352.65142,257,22.993204
42.715109,41,23.049277
57.427427,46,23.111897
87.963454,97,23.247959
132.217369,92,23.375869
52.005871,45,23.438788
226.303975,192,23.705292
114.771038,158,23.925374
214.849026,166,24.152702
26.797597,20,24.179978
179.075524,144,24.379531
39.085258,35,24.428994
32.260248,23,24.461266
10.266134,15,24.482508
82.958822,47,24.548833
25.206707,76,25.099905
77.880109,104,25.249532
123.293931,80,25.363158
-7.895683,19,25.390144
-2.312448,16,25.413094
35.169671,90,25.538344
31.647153,32,25.582753
123.231272,70,25.680084
53.034481,45,25.743377
86.49983,78,25.851125
39.404841,31,25.896149
53.917467,58,25.977596
12.397976,20,26.005327
-1.046512,25,26.039878
0.774641,7,26.049947
31.950754,31,26.092719
42.392385,39,26.147008
344.657895,225,26.452332
970.362411,1000,27.839344
103.861445,55,27.916179
19.517506,19,28.479683
55.126345,46,28.548045
18.862896,40,28.604913
2.861449,18,28.631834
17.747395,14,28.65197
164.641583,96,28.786565
250.525575,196,29.060002
0.133733,14,29.078932
88.62798,74,29.180348
31.796522,22,29.210706
57.670951,70,29.306587
342.630352,240,29.633588
540.142525,421,30.210462
154.652212,118,30.371691
96.395915,79,30.480284
56.728465,77,30.584776
1382.696056,1000,32.448249
38.535918,44,32.511245
15.204841,25,32.545194
103.439715,74,32.647762
1441.240182,1000,34.044379
120.182479,70,34.140495
209.368003,202,34.41749
52.767781,44,34.476968
51.439627,27,34.513746
47.583122,37,34.564328
30.461604,22,34.594774
1102.407312,1000,36.362053
44.28934,67,36.454059
212.6694,134,36.642044
128.369508,112,36.803815
39.211998,28,36.843168
37.101377,52,36.915231
88.135512,64,37.00337
5.719266,16,37.025853
23.768236,32,37.071044
40.023276,37,37.122446
15.386937,15,37.143758
54.206764,49,37.211578
112.988638,149,37.418551
17.557883,15,37.439581
95.269308,81,37.552014
-7.827744,42,37.611186
1316.363133,1000,39.534823
99.80419,76,39.640716
47.555301,38,39.694716
242.403015,122,39.864816
32.071182,18,39.890413
42.852451,32,39.935186
135.47904,119,40.100015
16.013971,36,40.150287
52.219996,32,40.195443
38.979026,43,40.255093
91.524159,91,40.383119
40.860103,115,40.544545
51.160973,57,40.624671
112.311859,110,40.780332
31.31381,27,40.818451
75.338844,38,40.871506
25.001297,21,40.901592
1458.281092,1000,42.675708
30.559474,32,42.723127
12.033325,19,42.750879
134.274021,90,42.876083
24.035427,30,42.917459
106.554729,108,43.064958
10.25259,13,43.082893
62.548881,32,43.127643
150.951693,101,43.266326
195.30048,139,43.462511
9.823547,55,43.536727
27.313326,24,43.569565
