#{"t_start": 1787796804.1209633, "env_id": "Ant-v5"}
r,l,t
46.638558,47,0.681361
13.437209,45,0.74305
176.345006,173,0.979
1045.671888,1000,2.375072
7.624499,14,2.394484
67.271498,42,2.453227
29.559662,26,2.488757
56.417452,33,2.533789
15.95829,35,2.580916
26.334198,70,2.674657
23.637492,27,2.711305
38.363494,61,2.796054
34.212774,20,2.822962
5.412643,11,2.837822
320.67494,232,3.14981
1031.083749,1000,5.752866
953.052271,1000,7.167431
196.483738,89,7.290867
7.840319,50,7.359776
929.587492,1000,9.629742
54.20319,34,9.676742
106.351274,80,9.787519
56.927291,63,9.877408
90.17759,53,9.950982
4.675892,26,9.98718
30.123834,22,10.01751
75.480667,53,10.09161
73.970156,64,10.18066
119.676302,98,10.318265
16.982864,12,10.334711
29.885538,32,10.379199
5.468292,13,10.396909
25.664311,31,10.442088
38.432677,45,10.507003
28.937692,32,10.551738
155.000477,81,10.662681
90.123189,75,10.768649
42.537731,32,10.813251
12.850481,25,10.847766
149.890673,91,10.974013
89.832883,62,11.058095
151.872247,118,11.2204
42.67752,52,11.673634
49.000262,68,11.770112
52.060776,43,11.828926
20.376909,34,11.876853
47.556989,36,11.928422
72.290271,95,12.063068
114.030938,79,12.174086
56.333787,47,12.240805
181.084175,139,12.438043
332.031208,195,12.715197
249.28921,205,13.001231
11.889657,33,13.047702
46.186853,32,13.093239
105.410441,77,13.200407
398.027285,310,13.660016
291.289521,222,13.97859
49.188738,22,14.010006
7.878425,17,14.034489
171.746228,132,14.237531
3.36185,15,14.258458
15.817556,28,14.299017
35.982515,33,14.345724
29.986946,29,14.386276
160.047699,150,15.158802
8.848621,20,15.187387
80.722985,73,15.288385
126.590878,113,15.44551
99.604739,87,15.570897
1357.022923,1000,16.979833
262.21515,195,17.245324
924.524671,1000,19.22526
94.98637,72,19.32252
27.183737,25,19.356637
62.776907,44,19.416251
48.094651,37,19.466501
47.212937,36,19.515331
72.630648,68,19.608869
33.210523,66,19.700041
231.796404,240,20.032176
107.399707,101,20.172388
23.537688,41,20.229435
69.584113,65,20.321624
148.195703,115,20.480716
32.528381,21,20.510582
166.468327,144,20.716287
26.754667,17,20.740461
117.045427,122,20.91406
177.872663,151,21.122881
17.584916,19,21.14889
6.28965,18,21.173914
31.323691,66,21.264982
1358.712085,1000,23.020633
132.113787,67,23.111755
329.767358,361,23.614293
34.605359,30,23.656556
69.381765,60,23.740133
35.972703,23,23.77262
47.215217,53,23.846244
51.518266,54,23.920795
18.570297,38,23.973876
12.36182,46,24.036643
47.985798,74,24.137446
92.790269,54,24.21126
33.8962,31,24.25417
910.204434,1000,26.103695
37.900779,32,26.147959
64.167103,44,26.208628
41.243043,41,26.264226
2.01567,23,26.295712
67.055221,45,26.356269
72.31252,58,26.434473
126.302793,87,26.554057
63.111627,47,26.621329
1403.236187,1000,28.5489
96.564191,68,28.647274
122.206422,90,28.773913
175.67734,118,28.93989
41.343184,35,28.988141
134.924901,146,29.188437
243.565786,172,29.42389
9.25165,14,29.442799
175.704217,117,29.602594
1.023901,26,29.6377
4.968642,16,29.658943
59.695868,60,29.740759
11.960505,16,29.762491
17.003816,22,29.792529
49.061764,40,29.847129
88.403719,91,29.971274
31.921419,14,29.990613
892.956249,1000,31.844436
43.067507,35,31.894457
48.411623,45,31.959336
38.332896,32,32.003902
96.007863,53,32.078415
90.579103,121,32.24472
38.134033,41,32.301191
9.972186,29,32.340753
18.495685,20,32.368085
982.704533,1000,33.769509
69.069487,151,33.976643
43.17821,28,34.015686
60.971269,97,34.148459
32.868984,25,34.182292
55.056316,47,34.245969
68.454638,84,34.362402
24.625398,28,34.400952
65.381896,49,34.467183
38.503326,52,34.538486
84.07558,82,35.004646
200.390853,162,35.230889
149.098547,99,35.368603
1284.242303,1000,36.78779
264.349198,195,37.059627
41.196808,80,37.171523
131.610226,118,37.335729
50.491401,40,37.390881
1464.565627,1000,39.31195
1245.718786,1000,40.713182
14.586992,20,40.742126
19.561082,21,40.771547
97.57482,57,40.851804
32.92128,29,40.892658
23.655954,21,40.922567
134.239206,95,41.055338
187.910712,121,41.223709
46.742753,38,41.649612
183.528954,111,41.805717
59.560433,37,41.856884
17.781127,32,41.900465
1261.52393,1000,43.300771
-0.424539,28,43.342698
50.563646,48,43.408881
178.084592,108,43.555722
11.399127,24,43.588651
48.616484,19,43.615335
1024.529797,1000,45.427711
79.301992,62,45.514579
141.62205,100,45.654365
40.559758,30,45.698143
949.890458,1000,47.100347
65.11226,58,47.180193
5.272209,11,47.19531
52.927824,33,47.241343
110.001858,73,47.342675
17.19034,18,47.36765
53.145445,36,47.417445
7.482005,12,47.434237
23.719026,18,47.459611
30.790045,18,47.48507
67.925963,43,47.547034
19.698027,13,47.565602
57.460901,103,47.706519
39.08199,30,47.748787
48.528011,24,48.202567
161.752768,112,48.363036
-5.535279,35,48.412697
127.228227,150,48.622677
20.720346,26,48.658287
1517.343673,1000,50.05884
44.066323,31,50.102032
59.41345,59,50.184361
28.319788,57,50.263937
159.104813,109,50.415901
16.600424,23,50.447825
84.506967,57,50.526335
43.74637,50,50.596565
36.079049,30,50.637983
30.781348,31,50.682519
1295.335344,1000,52.484267
104.936954,116,52.645746
111.489133,78,52.7551
64.790146,53,52.830157
16.810636,24,52.865726
278.136788,235,53.196767
56.55313,38,53.249076
10.123733,14,53.268536
32.495304,27,53.306032
69.220548,71,53.404843
169.9263,110,53.559199
5.769768,10,53.573491
1361.214431,1000,55.387077
35.601555,59,55.469096
88.935713,56,55.546093
128.277222,84,55.65741
1477.750719,1000,57.067952
66.618926,41,57.126015
42.741951,27,57.163473
137.746538,111,57.315473
28.32593,31,57.357517
50.173635,52,57.428385
22.742333,25,57.462838
1266.955294,1000,59.23347
83.970539,63,59.320097
21.585534,17,59.343293
78.857281,59,59.42489
136.42104,76,59.531628
14.415396,16,59.554518
34.039529,31,59.59725
372.977294,269,59.966682
52.175611,60,60.048617
80.84612,66,60.142206
18.787193,13,60.160043
128.660643,103,60.300573
16.756861,16,60.32265
20.840347,20,60.349927
144.954042,125,60.520227
43.748658,32,60.563974
5.381008,21,60.592957
143.072288,106,60.751074
88.131088,59,61.203527
1046.425321,1000,62.610516
14.231809,23,62.642564
40.793951,39,62.696547
69.65881,56,62.772835
155.754386,74,62.874569
117.456517,156,63.092483
157.869857,176,63.338279
5.321815,13,63.356689
16.008035,13,63.374937
218.712671,173,63.615828
66.465313,57,63.693817
193.603431,167,63.922125
152.399432,77,64.035754
300.228385,203,64.60365
49.27437,31,64.648504
1009.778658,1000,66.068741
41.483654,32,66.112969
82.147453,42,66.171046
6.742683,19,66.198708
144.50854,141,66.394901
53.559456,30,66.436461
58.810284,36,66.486934
506.415981,337,66.950267
52.338911,53,67.024211
70.586981,62,67.11158
5.84215,14,67.131196
22.074395,32,67.175082
187.889139,109,67.535452
189.837216,192,67.801991
1235.660769,1000,69.228094
19.724835,26,69.264292
400.82049,299,69.680631
55.728405,58,69.760765
141.112582,126,69.937522
61.989569,41,69.994112
57.625557,48,70.061998
121.804989,136,70.253454
60.081705,53,70.646645
193.606662,146,70.856695
1405.95965,1000,72.266726
20.99643,15,72.2873
271.43609,250,72.636889
130.083628,65,72.726184
25.123938,36,72.776034
282.769254,275,73.164984
119.700453,109,73.317603
27.200753,37,73.368695
148.72766,95,73.504929
33.660953,26,73.74444
110.263112,113,73.904832
265.939973,169,74.139691
99.602711,109,74.290981
119.622525,87,74.414907
42.972143,48,74.481494
45.178876,35,74.529923
42.182823,40,74.585563
165.371708,177,74.833554
14.473177,21,74.863652
1234.51774,1000,76.272784
131.46022,130,76.453306
5.279705,16,76.475673
45.006597,39,76.52948
1357.32582,1000,78.236348
11.155424,21,78.265352
83.911054,61,78.35006
27.481078,33,78.395936
1436.727081,1000,80.079227
22.098752,22,80.111461
38.422123,39,80.166237
151.722231,111,80.322684
1006.416564,1000,81.72943
18.260505,52,81.800736
37.322032,27,81.838159
1031.076046,1000,83.558216
6.77178,15,83.579036
1357.5897,1000,84.977139
1340.970927,1000,86.639741
20.581279,42,86.699223
137.881665,109,86.851984
1416.564709,1000,88.258781
41.570105,32,88.303696
283.427954,235,88.633693
109.006729,78,88.740061
12.190111,14,88.759253
58.718253,35,88.807695
34.352382,28,88.847485
19.127835,53,88.920278
182.877785,131,89.10043
1220.236961,1000,90.784697
153.604461,103,90.926474
89.832756,98,91.062403
454.373448,232,91.389143
300.862564,195,91.659459
2.009461,40,91.716174
97.292468,79,91.825019
27.891282,27,91.8622
114.369649,99,91.999678
22.665958,18,92.024473
80.938408,76,92.128744
37.07643,41,92.185501
10.950943,18,92.210152
-0.908867,14,92.229482
1256.312851,1000,93.882688
1465.783162,1000,95.277851
1036.972917,1000,96.902358
4.227293,24,96.936269
4.269292,17,96.960048
51.345955,40,97.016547
124.258778,76,97.123686
1329.395693,1000,98.532719
58.204836,54,98.608574
19.829302,12,98.894799
1103.460862,819,100.039471
92.195073,66,100.132134
942.399609,1000,101.531773
11.365676,17,101.555
1543.049307,1000,103.326919
5.736008,12,103.344078
132.129055,91,103.472068
149.200648,101,103.612187
65.333185,53,103.68481
196.203565,125,103.854952
60.189346,46,103.917785
166.290481,170,104.151406
339.555476,267,104.520323
20.254861,19,104.546505
108.317397,131,104.728043
25.699847,48,104.796855
11.298781,9,104.809343
128.128529,72,104.909332
7.123862,8,104.920341
40.564353,27,104.958011
57.601021,45,105.300861
12.033981,19,105.327956
-0.995677,10,105.341985
33.856776,24,105.377131
1397.517945,1000,106.78931
265.398792,187,107.047642
1457.119499,1000,108.686018
167.064876,107,108.836074
26.959336,27,108.871163
9.042148,15,108.890996
129.448693,65,108.980608
39.528951,48,109.046978
1162.771717,1000,110.44917
120.055908,89,110.58591
38.372148,36,110.63638
44.901238,33,110.682969
9.458393,17,110.706646
40.256027,35,110.756168
222.313511,147,110.961645
130.779995,109,111.112144
137.835375,129,111.49224
