#{"t_start": 1787787329.2460022, "env_id": "Ant-v5"}
r,l,t
48.269778,29,0.632081
5.649886,18,0.655944
32.668444,18,0.679298
100.151548,124,0.840628
31.009354,27,0.875917
28.438702,49,0.94021
52.155574,45,0.999434
29.950369,57,1.075563
90.601213,95,1.201012
12.795167,30,1.240191
34.623712,38,1.289793
23.50748,91,1.407247
17.376289,29,1.444141
-8.802182,16,1.464985
125.313117,71,1.556123
122.910179,116,1.706231
300.6199,324,2.124045
50.401826,63,2.203735
11.111066,27,2.238681
17.040217,16,2.258779
37.039291,35,2.303122
22.874201,29,2.339639
62.845716,84,2.445411
23.335429,36,2.491019
49.859332,54,2.55903
57.069712,58,2.631986
6.614507,12,2.647485
43.996028,68,2.734006
38.323255,40,2.785965
55.035258,35,2.83057
61.852369,37,2.87845
188.784873,180,3.107406
17.968308,14,3.125006
3.373936,10,3.137644
16.837472,28,3.173257
12.750312,22,3.201655
152.009465,116,4.112564
42.118439,53,4.181915
54.391663,37,4.228955
73.480509,65,4.313385
-2.335733,31,4.353231
57.043517,42,4.407343
-1.672763,27,4.442757
21.22227,16,4.463685
10.270072,24,4.49492
28.767197,30,4.53364
41.761787,59,4.610768
21.832082,22,4.639321
18.049435,54,4.709476
12.157237,24,4.740791
64.607278,71,4.832227
3.611726,30,4.871764
13.009041,29,4.909842
29.041443,25,4.943135
31.8944,28,4.97923
15.507872,51,5.045912
83.248626,68,5.133931
9.650069,24,5.16581
27.287118,41,5.218643
-0.204779,36,5.265183
41.004493,42,5.319994
22.755375,36,5.366144
6.547896,15,5.385322
23.901946,51,5.450821
49.059055,29,5.487593
113.557958,64,5.571903
94.904027,62,5.651596
25.524876,26,5.684499
112.584018,102,5.814408
21.486308,28,5.850499
6.900413,55,5.921423
94.273562,75,6.018515
124.262964,111,6.160254
175.464679,205,6.427054
938.353624,1000,8.432073
45.700563,60,8.51022
26.087955,15,8.529656
46.728069,40,8.582603
62.955549,80,8.686273
-12.319416,70,8.777852
55.489366,92,8.897915
56.111712,89,9.015575
33.380119,31,9.0574
67.888084,69,9.147212
108.658093,120,9.304478
21.24849,25,9.336884
72.721863,116,9.487617
13.694868,26,9.52126
24.51063,37,9.568874
15.665148,54,9.639696
56.462307,59,9.715164
11.613596,21,9.741981
15.175838,14,9.760291
5.54979,11,9.774795
16.619864,41,9.828524
24.06466,33,9.871
43.734953,52,9.93939
65.759365,74,10.676522
64.390228,121,10.832901
7.369929,16,10.853425
59.345732,40,10.905291
49.875988,75,11.002327
