#{"t_start": 1787787329.2487273, "env_id": "Ant-v5"}
r,l,t
39.553345,78,0.693655
49.964436,58,0.768926
951.53465,1000,2.069082
28.293384,26,2.102697
73.647853,55,2.172087
229.231799,218,2.447907
-8.31903,30,2.485852
28.744838,19,2.510182
2.815626,42,2.562764
51.821273,48,2.623204
18.295195,27,2.657845
59.08216,59,2.732734
46.334682,36,2.779393
6.899864,16,2.799702
19.885802,29,2.837084
6.363881,20,2.862725
50.621852,40,2.914039
52.066381,73,3.007078
33.166749,42,3.060765
26.874302,21,3.087258
75.824657,81,3.190356
-0.661161,8,3.200431
16.991034,16,3.220657
23.031347,40,4.032509
27.771783,23,4.06236
-4.877267,12,4.078079
22.339937,31,4.119406
60.172921,61,4.198459
34.783853,52,4.265095
-0.207329,56,4.338022
18.152709,15,4.357164
26.761119,27,4.391987
68.910909,64,4.475529
32.400548,28,4.51163
33.046012,27,4.546879
20.809969,14,4.564766
75.597307,88,4.679945
88.486164,64,4.7632
23.014967,28,4.798882
33.899291,27,4.833557
64.632412,57,4.908727
81.191717,61,4.988754
33.246359,43,5.044727
3.919345,23,5.07435
103.324739,92,5.194412
75.406203,79,5.29648
77.62265,98,5.422632
1.430942,13,5.439215
115.101983,131,5.609804
41.855082,112,5.751568
56.681205,65,5.834701
31.903256,41,5.888128
13.170252,17,5.909842
38.578796,34,5.954369
11.267576,12,5.969886
10.978749,17,5.991606
35.768596,24,6.022605
77.065656,72,6.1146
95.015402,82,6.219253
16.579628,28,6.255718
10.997341,12,6.275077
36.627742,20,6.300347
11.142749,10,6.313265
67.525625,162,6.522962
930.551608,1000,8.527222
68.20474,52,8.596021
838.991175,1000,9.900297
82.117039,111,10.68588
56.741879,111,10.828926
-11.08522,33,10.871357
7.32427,13,10.88847
76.622874,106,11.025909
11.42605,24,11.056942
1.944979,10,11.070194
71.592708,108,11.208206
33.959039,23,11.237702
29.048373,21,11.264559
83.845423,98,11.397209
972.653912,1000,12.711417
48.731392,53,12.780666
32.531611,57,12.854733
4.603563,20,12.880483
115.096552,73,12.975574
1061.903144,1000,14.847854
15.6052,12,14.863117
216.516187,228,15.162001
19.281441,23,15.192041
53.857385,58,15.267269
64.588344,87,15.382941
39.127728,43,15.438878
114.300977,99,15.569346
983.02669,1000,17.273612
117.784499,87,17.390636
35.327052,63,17.472528
26.110848,38,17.522282
22.765578,25,17.555635
71.58801,70,17.648374
-17.468391,25,17.681306
34.857571,45,17.741664
57.996891,97,17.870287
-5.599648,57,17.945286
1.790298,37,17.993726
1009.887519,1000,19.323043
12.501848,17,19.346139
59.109317,97,19.474468
6.176086,35,19.52075
38.680129,20,19.547355
933.212301,1000,21.227271
93.165562,107,21.367417
18.357423,30,21.406042
92.749028,91,21.524468
91.945811,95,21.649177
34.023272,44,21.705812
28.108443,45,21.764835
18.181246,33,21.807142
94.825351,72,21.901096
20.068998,35,21.946841
41.768135,36,21.993916
29.910244,46,22.05598
30.87385,27,22.091308
84.383703,42,22.147711
4.329386,21,22.175586
25.077072,73,22.270509
39.16192,40,22.322517
80.125251,69,22.413335
55.819352,74,22.510734
119.193696,116,22.664026
13.219828,13,22.681069
13.851363,19,22.705843
91.938171,106,23.405829
18.497829,19,23.431833
187.657596,173,23.660093
997.502449,1000,24.998314
1032.46225,1000,26.651752
30.002776,28,26.689513
10.956717,14,26.708196
50.209756,30,26.747689
2.954192,17,26.769912
90.991981,118,26.927742
126.01372,113,27.076888
230.694967,255,27.414414
61.693623,61,27.495034
22.134481,35,27.540893
135.926425,80,27.647003
10.948744,39,27.697462
17.967962,21,27.724286
76.779866,66,27.811027
62.81973,110,27.955137
97.326073,84,28.064356
32.432195,20,28.090801
7.020175,48,28.156041
24.077162,49,28.220613
69.275583,39,28.272303
25.373816,23,28.303169
90.700037,90,28.422192
16.695633,35,28.469071
24.263899,35,28.514835
47.061783,45,28.57391
74.163209,73,28.671448
9.187019,21,28.698925
34.948068,46,28.761178
53.202604,27,28.796733
137.240924,120,28.955549
44.440217,40,29.007895
60.538389,33,29.05133
931.739584,1000,30.811357
155.048741,92,30.93415
43.827447,72,31.028792
66.486708,89,31.148206
22.864883,22,31.178125
16.549275,90,31.298775
28.730523,36,31.346119
-4.766798,22,31.375317
59.958736,57,31.45074
66.494956,37,31.500679
90.63148,101,31.635648
92.802208,133,31.810854
59.867372,70,31.904284
921.164115,1000,33.643875
39.135811,45,33.702278
22.180512,23,33.732013
142.119018,134,33.90798
19.846883,52,33.976439
98.517349,70,34.068623
27.593784,45,34.126942
79.769152,56,34.199684
25.46045,24,34.230889
18.732156,19,34.255625
50.284206,80,34.358352
18.830578,53,34.426287
316.912271,291,34.801855
20.980479,19,34.82639
70.531786,51,34.892983
5.787058,11,34.908179
111.441488,79,35.01222
1073.483955,1000,36.781327
33.544446,47,36.842128
204.329839,134,37.016049
31.415722,62,37.097639
2.651624,22,37.126108
1070.786386,1000,38.455429
103.663838,84,38.78621
47.31165,139,38.971429
144.727287,119,39.129982
11.596446,14,39.148441
67.565384,43,39.204933
88.188266,107,39.353917
86.573012,74,39.452241
64.372843,103,39.589508
126.711275,131,39.763825
86.970598,110,39.909734
175.707314,158,40.119914
971.208729,1000,41.82402
48.248629,43,41.881851
17.87777,17,41.904789
920.968802,1000,43.251381
50.797874,54,43.323612
63.73201,104,43.462657
11.429152,14,43.481004
26.82917,107,43.622626
18.742972,71,43.715569
935.202295,1000,45.320502
166.009573,180,45.56082
14.218423,14,45.579442
971.424899,1000,46.929388
937.90375,1000,48.598829
85.486713,136,48.783318
292.69837,249,49.1191
19.251455,24,49.151042
37.698575,32,49.193648
48.629838,47,49.257021
150.007173,140,49.444585
277.649277,215,49.735701
995.102898,1000,51.569257
39.092381,24,51.600603
80.279001,95,51.724528
41.667231,27,51.76068
76.143565,84,51.872082
133.255815,156,52.076284
28.943447,26,52.110444
48.1444,25,52.143333
256.635778,220,52.430143
38.956837,53,52.499023
942.103199,1000,53.844787
1033.712826,1000,55.609702
150.063251,108,55.752085
77.177602,149,55.950757
82.40627,68,56.042045
85.125099,81,56.150149
125.495499,111,56.299848
53.161859,36,56.348314
27.745161,36,56.396495
43.859603,46,56.457787
30.474782,64,56.544272
33.811151,35,56.591756
27.66012,53,56.663893
69.969137,78,56.7685
147.260316,120,56.93054
65.044237,52,57.000576
49.90465,41,57.360278
17.400104,26,57.396252
1006.499786,1000,58.753382
8.725395,12,58.769553
7.023635,19,58.795247
36.541657,29,58.834361
59.359683,45,58.896067
34.002113,26,58.931369
122.759139,142,59.125822
40.203977,41,59.181093
1016.23218,1000,60.83765
63.663278,45,60.897488
26.706806,17,60.920073
36.898738,45,60.979959
48.343708,34,61.024596
32.468271,24,61.055812
68.843767,64,61.141028
1001.974858,1000,62.487419
59.814388,85,62.599205
23.929457,20,62.625881
99.11054,93,62.747826
937.715668,1000,64.409204
1011.519981,1000,65.749479
87.918701,52,65.817902
54.851463,52,65.88623
77.085333,68,65.977471
1041.615033,1000,67.631257
97.879741,78,67.736484
83.111551,108,67.880515
33.497957,44,67.940669
8.442433,24,67.972737
1095.702153,1000,69.67128
101.478985,124,69.837034
35.475598,20,69.863195
130.176758,97,69.994817
22.697647,28,70.032294
198.233266,216,70.322249
41.033732,29,70.360995
24.658123,15,70.381052
81.293597,46,70.443126
19.855149,26,70.477389
41.616182,26,70.51169
132.452545,96,70.640426
15.721469,10,70.654047
13.749068,39,70.70678
61.351505,55,70.782198
1060.087442,1000,72.125308
44.201347,46,72.187575
76.37887,71,72.282664
8.068311,26,72.317796
1025.453647,1000,73.992498
61.361466,53,74.06352
1116.154183,1000,75.420164
24.931571,40,75.474055
100.982227,85,75.95658
51.361984,64,76.042717
1060.094175,1000,77.398764
1077.164638,1000,79.06547
1069.707375,1000,80.406774
80.437597,46,80.468602
47.562167,25,80.500862
33.685291,39,80.552494
31.490036,37,80.601983
20.761768,27,80.638252
272.579521,260,80.991686
51.198055,65,81.078913
42.535396,69,81.171622
77.380645,67,81.261428
1066.404597,1000,82.939431
1031.653893,1000,84.29452
1139.536843,1000,85.84923
46.895221,25,85.882168
69.361493,37,85.932173
93.203873,109,86.07674
39.333919,26,86.110839
37.7191,24,86.142526
141.293402,122,86.30233
31.547096,23,86.332119
21.875535,27,86.367074
32.602193,78,86.46845
75.819884,54,86.539203
140.234606,129,86.708099
115.475886,80,86.812738
1088.467505,1000,88.391115
88.647768,71,88.484802
15.083211,31,88.526042
1113.34128,1000,89.91306
92.460434,63,89.997632
46.667147,48,90.061846
102.836319,99,90.198803
113.838931,61,90.281564
300.511122,312,90.707736
113.924775,104,91.189273
16.778271,15,91.209822
49.471298,34,91.255258
55.114907,50,91.324537
11.215176,13,91.342337
103.530523,86,91.459795
30.113088,51,91.529067
24.263274,22,91.558649
72.367232,43,91.61566
149.412769,131,91.790324
24.661007,36,91.838654
1118.771169,1000,93.184921
310.315599,251,93.528275
15.689198,15,93.548304
1011.35226,1000,95.134845
203.571513,198,95.39259
73.92448,48,95.455736
164.103892,141,95.644103
9.230365,24,95.676226
54.130329,37,95.726799
208.212876,260,96.077215
7.731478,22,96.106724
1086.300841,1000,97.772854
18.162561,16,97.794876
26.100596,23,97.82589
184.572497,123,97.991002
1069.537519,1000,99.32454
127.995862,74,99.422273
82.120104,98,99.551044
73.684735,62,99.632095
104.365175,59,99.710562
23.213827,31,99.75196
92.517386,55,99.825365
317.077907,266,100.484044
59.03042,47,100.546551
76.333376,52,100.617151
1117.287656,1000,101.966301
37.329221,35,102.013143
50.513339,45,102.072831
1108.795221,976,103.496345
138.367639,95,103.623691
53.347535,49,103.688828
59.730409,63,103.77269
66.89915,52,103.843358
230.060186,141,104.034039
65.535797,46,104.095603
87.797128,60,104.177421
53.951886,87,104.294109
1055.67669,1000,105.660957
1104.637755,1000,107.273601
53.343565,86,107.390436
14.748153,29,107.430067
25.259348,22,107.460179
1054.104399,1000,108.818454
17.591065,24,108.850648
11.03719,22,108.879951
134.716375,116,109.468541
199.606503,151,109.67427
95.314466,83,109.786164
122.428583,102,109.922944
168.765168,140,110.111899
1051.719993,1000,111.479345
26.415898,17,111.502178
55.252635,54,111.573241
5.797764,26,111.608506
146.287953,149,111.809599
144.647,163,112.032176
32.625888,22,112.061201
22.276886,30,112.101518
1073.281702,1000,113.642492
6.152502,14,113.661076
66.756111,57,113.738098
418.008136,316,114.171505
81.221817,40,114.22593
17.981735,27,114.262376
26.366855,32,114.305223
124.665242,107,114.450283
81.920688,94,114.575789
1033.511115,1000,116.111126
45.192208,36,116.160255
6.440901,16,116.181557
57.645179,47,116.245708
90.212079,81,116.357284
64.566331,63,116.440368
85.680215,49,116.507018
26.478263,21,116.534476
25.6798,28,116.571038
183.854534,118,116.729423
43.996717,46,116.791328
25.318534,26,116.825887
405.501122,301,117.228385
67.900311,24,117.260182
75.129943,150,117.461594
1084.084401,1000,119.046385
69.390407,90,119.164371
1086.09004,1000,120.508259
201.035772,173,120.736715
173.982968,155,120.941458
41.928173,38,120.991256
82.91413,76,121.326577
32.434449,22,121.356381
163.065293,228,121.660105
1119.818117,1000,123.030739
119.911411,104,123.171386
40.348681,46,123.233469
168.046035,155,123.440422
158.160777,97,123.575484
4.140414,22,123.605479
26.767729,24,123.637756
1071.110236,1000,125.196718
1155.584918,1000,126.556599
1120.66922,1000,128.095823
228.269866,247,128.430937
1117.976287,1000,129.78902
82.776309,143,130.266587
179.605946,171,130.498565
1166.943878,1000,131.867897
1058.098555,1000,133.468919
56.852927,61,133.552157
77.351851,57,133.629249
228.166672,218,133.925536
16.126677,30,133.966512
47.373714,48,134.032618
1127.138245,1000,135.401572
26.482117,26,135.437832
229.777084,199,135.705628
1088.544112,1000,137.379095
50.040457,51,137.44749
34.122313,28,137.485144
68.833266,61,137.567125
64.770031,73,137.663698
32.565492,30,137.704188
1066.181656,1000,139.068245
50.360739,47,139.13122
16.044126,14,139.149356
29.093824,16,139.170576
10.733225,10,139.183631
8.894771,10,139.43174
1019.681622,1000,140.794632
1139.787062,1000,142.149342
63.49931,55,142.457394
107.573749,131,142.634444
1131.067603,1000,143.987656
12.124659,27,144.024589
1125.217955,1000,145.579448
8.191629,89,145.697881
358.913024,336,146.154388
1137.060773,1000,147.511505
123.220522,143,147.701832
149.726746,90,147.820342
1150.007699,1000,149.423086
145.150024,100,149.558353
37.225333,38,149.6092
1153.30401,1000,150.976146
67.411469,62,151.058366
1154.99888,1000,152.559677
66.101741,90,152.681216
33.558311,20,152.70791
42.391758,42,152.763536
145.623067,97,152.893937
401.865588,286,153.279194
9.303714,10,153.292254
1120.064152,1000,155.025304
46.633554,46,155.086694
57.531525,49,155.150681
103.126902,75,155.249891
70.917833,53,155.319443
63.046785,88,155.438746
387.074432,239,155.7597
159.328895,138,155.946435
186.530033,139,156.135
34.773311,30,156.175253
1150.972891,1000,157.870459
1126.403384,1000,159.231265
72.235574,83,159.343644
87.685537,72,159.441339
106.346188,95,159.57024
19.548523,32,159.614001
94.468168,75,159.71591
90.774207,90,159.838615
166.54022,182,160.085346
15.666746,23,160.116482
137.90951,93,160.244192
1191.570055,1000,161.803361
35.305235,32,161.845845
129.178288,113,161.998211
36.904118,30,162.038502
56.224384,57,162.115273
114.239758,74,162.215331
74.949369,50,162.284248
109.188191,118,162.44502
1037.804331,1000,164.211665
1159.671151,1000,165.569257
147.21736,177,165.80646
37.28582,39,165.858233
20.187197,15,165.878369
72.634016,68,165.969974
1180.06047,1000,167.478485
57.831869,41,167.533293
250.124405,241,167.859604
39.153004,32,167.903718
114.287964,74,168.003721
16.191373,17,168.026671
1116.738798,1000,169.373815
65.898128,67,169.462783
1140.709637,1000,171.103835
1161.5201,1000,172.457349
49.912228,35,172.504532
217.075906,179,172.910666
28.183863,27,172.946284
41.537192,48,173.009625
19.144819,28,173.046302
139.327037,95,173.172399
1147.454197,1000,174.532516
21.202977,25,174.567674
1198.557257,1000,176.1521
39.65164,43,176.210295
1184.351776,1000,177.569725
1117.848665,1000,179.22768
148.254765,104,179.370086
189.506159,221,179.67311
109.25472,93,179.800578
133.131297,99,179.933179
33.656994,26,179.968252
61.956806,60,180.049332
346.197143,253,180.401984
41.738631,41,180.457873
125.869196,115,180.617129
195.261038,138,180.815184
983.913488,821,182.142193
35.777148,32,182.186633
67.288996,83,182.298868
48.084571,49,182.365246
22.864116,20,182.392834
1201.99409,1000,183.823421
275.664836,206,184.105685
1240.528363,1000,185.663196
135.408226,159,185.879543
194.320089,217,186.170456
1133.645245,1000,187.542581
1096.148173,1000,189.168673
-8.951751,24,189.20169
78.810202,66,189.290766
206.391208,137,189.479207
47.821046,44,189.538486
33.678544,35,189.585801
26.935346,36,189.634791
54.693364,28,189.672026
90.367695,96,189.800711
97.467473,69,189.894058
1166.888473,1000,191.414228
18.400776,21,191.443254
19.608067,20,191.470973
54.581855,45,191.53062
122.575413,119,191.691403
1257.469517,1000,193.057467
1215.124352,1000,194.637776
367.894088,351,195.115772
16.97903,37,195.164782
69.90987,74,195.26342
1160.628679,1000,196.619645
395.992789,334,197.187669
40.971455,62,197.271858
44.18775,30,197.3123
45.645072,42,197.370588
103.764744,98,197.501999
32.880458,27,197.538225
70.834811,53,197.609563
43.649895,95,197.737979
59.149327,76,197.841769
45.537538,31,197.883353
37.053561,38,197.934807
31.884014,45,197.995714
67.366006,82,198.104292
1240.39308,1000,199.470872
24.314757,25,199.504137
138.585604,107,199.778194
265.615643,284,200.165172
