#{"t_start": 1787787329.2511263, "env_id": "Ant-v5"}
r,l,t
117.251631,157,0.794116
950.6723,1000,2.093918
46.666579,94,2.213305
54.953223,69,2.300869
0.41488,14,2.318401
38.582705,33,2.359791
30.727658,29,2.396337
6.450946,30,2.43409
16.297047,24,2.46468
55.072662,47,2.524237
83.905823,76,2.619628
6.91523,15,2.63903
47.082745,43,2.693574
10.563313,26,2.726672
49.017794,41,2.779823
6.708844,30,2.817821
87.66424,104,2.952449
134.108812,161,3.155917
54.038057,34,3.199533
12.366713,18,3.222364
117.739538,209,4.253739
2.947289,20,4.279965
17.757362,17,4.302136
906.94093,1000,5.601026
42.770122,48,5.661896
19.26944,27,5.696247
80.365805,116,5.844412
9.470365,25,5.87679
16.961952,36,5.923288
5.114444,10,5.936704
37.907059,56,6.008657
9.865112,16,6.029354
141.668587,179,6.258578
41.074135,51,6.327598
24.70376,15,6.346478
4.95873,16,6.367347
41.033903,41,6.419672
13.074484,21,6.447044
18.902472,34,6.491694
18.317332,27,6.527307
88.538025,96,7.340264
33.988783,67,7.429124
961.757821,1000,8.744628
72.833219,46,8.803853
19.839948,20,8.830007
40.098748,63,8.913134
65.497285,71,9.006757
-26.494635,38,9.057984
-16.063512,35,9.103105
21.67019,20,9.12905
19.574552,24,9.160865
11.110601,38,9.21176
3.71407,13,9.228467
23.236355,29,9.266034
3.034609,13,9.282913
-6.337835,15,9.30235
10.524352,17,9.324306
95.457129,106,9.461606
50.615902,50,9.526731
229.356156,164,9.738636
1.915859,60,9.817267
64.380697,49,9.880886
15.634679,45,9.93997
76.984488,55,10.010683
39.75094,49,10.716139
23.727504,13,10.733025
79.172933,70,10.822813
13.569516,12,10.838543
20.318476,15,10.85756
22.12483,27,10.892747
15.184922,17,10.915086
42.376787,86,11.026431
24.86818,40,11.078351
46.640214,39,11.128176
55.190034,60,11.20462
40.821364,35,11.24964
19.989796,21,11.284812
76.532211,79,11.38488
134.928759,91,11.502223
1026.794182,1000,12.817839
64.769542,37,12.865403
32.975009,34,12.909352
72.508642,87,13.023175
33.036818,28,13.059269
99.755413,109,13.200507
6.5605,21,13.227565
64.153695,29,13.263044
30.935238,57,13.903618
105.42319,121,14.063538
35.099482,57,14.137875
23.99547,84,14.248901
76.339276,81,14.354057
44.618558,48,14.417101
42.407831,34,14.463259
39.782534,32,14.505304
42.087496,30,14.544382
171.622587,130,14.713243
17.862466,15,14.733337
